户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
3室1厅,中楼层/共6层,84.6,平层/简装,335,万源南里,丰台,无,2023年12月30日,普通住宅,39599
3室1厅,高楼层/共18层,103.86,平层/简装,508,洋桥71号院,丰台,配备电梯,2023年12月30日,普通住宅,48912
2室1厅,中楼层/共18层,57.61,平层/精装,328,西罗园二区,丰台,配备电梯,2023年12月29日,普通住宅,56935
2室1厅,中楼层/共20层,86.04,平层/简装,395,政馨园二区,丰台,配备电梯,2023年12月29日,普通住宅,45909
2室1厅,低楼层/共6层,57.4,平层/简装,299,角门东里,丰台,无,2023年12月29日,普通住宅,52091
1室1厅,中楼层/共14层,73.58,平层/精装,489,珠江骏景南区,丰台,配备电梯,2023年12月29日,普通住宅,66459
4室1厅,底层/共6层,63.88,平层/精装,409,东大街西里,丰台,无,2023年12月30日,普通住宅,64027
3室2厅,中楼层/共15层,109.01,平层/精装,560,天骄俊园9号院,丰台,配备电梯,2023年12月27日,普通住宅,51372
3室1厅,高楼层/共11层,116.59,平层/精装,800,长安新城,丰台,配备电梯,2023年12月30日,普通住宅,68617
2室1厅,中楼层/共6层,72.51,平层/简装,285,晓月苑一里,丰台,无,2023年12月28日,普通住宅,39305
2室1厅,低楼层/共15层,71.25,平层/精装,213,长馨园,丰台,配备电梯,2023年12月28日,普通住宅,29895
2室1厅,中楼层/共6层,54.2,平层/精装,335,东大街东里,丰台,无,2023年12月27日,普通住宅,61809
1室0厅,高楼层/共16层,62.43,平层/简装,409,冬季星空,丰台,配备电梯,2023年12月27日,普通住宅,65514
1室0厅,中楼层/共28层,26.42,平层/简装,175,世纪金色嘉园,丰台,配备电梯,2023年12月27日,普通住宅,66238
2室1厅,中楼层/共6层,58.3,平层/精装,300,东大街西里,丰台,无,2023年12月28日,普通住宅,51458
2室1厅,低楼层/共21层,81.76,平层/精装,579,玉林里小区,丰台,配备电梯,2023年12月27日,普通住宅,70818
2室1厅,中楼层/共5层,56.16,平层/精装,258,卢沟桥北里,丰台,无,2023年12月25日,普通住宅,45941
3室1厅,低楼层/共25层,87.93,平层/简装,520,芳城园三区,丰台,配备电梯,2023年12月27日,普通住宅,59138
3室1厅,低楼层/共6层,77.59,平层/精装,490,青塔东里,丰台,无,2023年12月27日,普通住宅,63153
1室1厅,低楼层/共21层,40.3,平层/精装,178,南三环中路,丰台,配备电梯,2023年12月25日,普通住宅,44169
3室1厅,低楼层/共28层,107.8,平层/简装,530,长安新城,丰台,配备电梯,2023年12月28日,普通住宅,49166
2室1厅,中楼层/共6层,67.63,平层/简装,365,建欣苑四里,丰台,无,2023年12月24日,普通住宅,53971
2室1厅,高楼层/共14层,71.03,平层/简装,340,南庭新苑北区,丰台,配备电梯,2023年12月24日,普通住宅,47868
1室1厅,低楼层/共14层,69.44,平层/精装,275,日新家园,丰台,配备电梯,2023年12月25日,普通住宅,39603
3室1厅,中楼层/共22层,121.42,平层/精装,725,三环新城8号院,丰台,配备电梯,2023年12月23日,普通住宅,59711
2室1厅,中楼层/共6层,74.65,平层/精装,538,紫芳园一区,丰台,无,2023年12月27日,普通住宅,72070
2室1厅,中楼层/共21层,87.67,平层/简装,433,春风雅筑,丰台,配备电梯,2023年12月23日,普通住宅,49390
2室1厅,中楼层/共28层,91.26,平层/简装,445,丰体时代花园,丰台,配备电梯,2023年12月22日,普通住宅,48762
1室1厅,高楼层/共21层,53.05,平层/精装,240,顶秀欣园东苑,丰台,配备电梯,2023年12月22日,普通住宅,45241
3室1厅,中楼层/共28层,122.73,平层/简装,550,丰体时代花园,丰台,配备电梯,2023年12月25日,普通住宅,44814
2室1厅,底层/共21层,81.39,平层/简装,446,首开华润花香四季,丰台,配备电梯,2023年12月23日,普通住宅,54798
3室1厅,中楼层/共18层,91.32,平层/简装,508,角门东里,丰台,配备电梯,2023年12月22日,普通住宅,55629
2室1厅,顶层/共14层,95.72,平层/精装,540,彩虹城一区,丰台,配备电梯,2023年12月21日,普通住宅,56415
