户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
3室2厅,低楼层/共6层,103.41平米,平层/精装,538.0,贵园北里甲区,亦庄开发区,房屋朝向,,"2023年12月24日
                                                                            ","普通住宅
                                                                            ",52026
1室1厅,高楼层/共21层,61.43平米,平层/精装,275.0,中信悦海苑,亦庄开发区,房屋朝向,配备电梯,"2023年12月19日
                                                                            ","普通住宅
                                                                            ",44767
2室1厅,高楼层/共11层,78.36平米,平层/精装,472.0,北京经开壹中心,亦庄开发区,房屋朝向,配备电梯,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",60235
2室1厅,低楼层/共11层,89.29平米,平层/简装,470.0,悦廷,亦庄开发区,房屋朝向,配备电梯,"2023年12月09日
                                                                            ","普通住宅
                                                                            ",52638
2室2厅,中楼层/共18层,108.94平米,平层/简装,365.0,次渠南里八区,亦庄开发区,房屋朝向,配备电梯,"2023年11月25日
                                                                            ","普通住宅
                                                                            ",33505
2室1厅,中楼层/共14层,70.31平米,平层/其他,369.0,通泰国际公馆,亦庄开发区,房屋朝向,配备电梯,"2023年12月31日
                                                                            ","普通住宅
                                                                            ",52482
1室1厅,顶层/共16层,61.63平米,平层/精装,190.0,南海雅苑南区,亦庄开发区,房屋朝向,配备电梯,"2023年12月06日
                                                                            ","普通住宅
                                                                            ",30830
1室1厅,低楼层/共12层,69.32平米,平层/简装,346.0,泰河园七里,亦庄开发区,房屋朝向,配备电梯,"2023年12月08日
                                                                            ","普通住宅
                                                                            ",49914
2室1厅,高楼层/共11层,104.57平米,平层/精装,525.0,春华屋,亦庄开发区,房屋朝向,配备电梯,"2023年12月04日
                                                                            ","普通住宅
                                                                            ",50206
2室2厅,中楼层/共6层,78.71平米,平层/精装,465.0,梅园小区,亦庄开发区,房屋朝向,,"2023年12月28日
                                                                            ","普通住宅
                                                                            ",59078
2室2厅,中楼层/共5层,92.66平米,平层/简装,595.0,郁金香舍,亦庄开发区,房屋朝向,,"2023年11月16日
                                                                            ","普通住宅
                                                                            ",64214
1室1厅,低楼层/共18层,57.95平米,平层/简装,202.0,次渠南里十一区,亦庄开发区,房屋朝向,配备电梯,"2023年11月17日
                                                                            ","普通住宅
                                                                            ",34858
2室1厅,顶层/共6层,86.31平米,平层/精装,409.0,富源里,亦庄开发区,房屋朝向,,"2023年12月01日
                                                                            ","普通住宅
                                                                            ",47388
3室2厅,中楼层/共18层,137.49平米,平层/精装,668.0,老管委会宿舍,亦庄开发区,房屋朝向,配备电梯,"2023年11月09日
                                                                            ","普通住宅
                                                                            ",48586
1室1厅,底层/共18层,57.87平米,平层/简装,190.0,次渠南里七区,亦庄开发区,房屋朝向,配备电梯,"2023年10月29日
                                                                            ","普通住宅
                                                                            ",32833
1室1厅,高楼层/共11层,72.97平米,平层/简装,320.0,定海园二里,亦庄开发区,房屋朝向,配备电梯,"2023年10月27日
                                                                            ","普通住宅
                                                                            ",43854
3室1厅,高楼层/共6层,97.12平米,平层/简装,458.0,富源里,亦庄开发区,房屋朝向,,"2023年10月18日
                                                                            ","普通住宅
                                                                            ",47159
3室2厅,中楼层/共9层,157.47平米,平层/简装,870.0,新康家园,亦庄开发区,房屋朝向,配备电梯,"2023年10月22日
                                                                            ","普通住宅
                                                                            ",55249
1室1厅,高楼层/共16层,61.74平米,平层/简装,210.0,南海雅苑南区,亦庄开发区,房屋朝向,配备电梯,"2023年10月27日
                                                                            ","普通住宅
                                                                            ",34014
2室1厅,中楼层/共12层,92.73平米,平层/精装,500.0,泰河园七里,亦庄开发区,房屋朝向,配备电梯,"2023年10月17日
                                                                            ","普通住宅
                                                                            ",53920
3室2厅,高楼层/共9层,117.1平米,平层/精装,730.0,上海沙龙,亦庄开发区,房屋朝向,配备电梯,"2023年10月14日
                                                                            ","普通住宅
                                                                            ",62340
2室1厅,底层/共6层,74.31平米,平层/简装,445.0,瀛景园,亦庄开发区,房屋朝向,,"2023年10月13日
                                                                            ","普通住宅
                                                                            ",59885
2室1厅,底层/共6层,90.13平米,平层/简装,436.0,贵园南里丁区,亦庄开发区,房屋朝向,,"2023年10月09日
                                                                            ","普通住宅
                                                                            ",48375
2室1厅,中楼层/共15层,87.67平米,平层/精装,519.0,通泰国际公馆,亦庄开发区,房屋朝向,配备电梯,"2023年10月07日
                                                                            ","普通住宅
                                                                            ",59200
3室2厅,低楼层/共17层,147.11平米,平层/精装,1075.0,林肯公园,亦庄开发区,房屋朝向,配备电梯,"2023年10月05日
                                                                            ","普通住宅
                                                                            ",73075
2室2厅,高楼层/共6层,95.94平米,平层/简装,549.0,新干部楼,亦庄开发区,房屋朝向,,"2023年09月24日
                                                                            ","普通住宅
                                                                            ",57224
1室0厅,中楼层/共14层,53.26平米,平层/精装,299.0,通泰国际公馆,亦庄开发区,房屋朝向,配备电梯,"2023年09月22日
                                                                            ","普通住宅
                                                                            ",56140
3室1厅,顶层/共6层,101.07平米,平层/其他,530.0,贵园南里乙区,亦庄开发区,房屋朝向,,"2023年09月20日
                                                                            ","普通住宅
                                                                            ",52439
2室2厅,中楼层/共17层,92.45平米,平层/精装,723.0,林肯公园,亦庄开发区,房屋朝向,配备电梯,"2023年09月08日
                                                                            ","普通住宅
                                                                            ",78205
