户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
2室1厅,中楼层/共8层,90.13,平层/精装,269.0,金色漫香郡北区,大兴,配备电梯,2023年12月30日,普通住宅,29846
2室1厅,高楼层/共16层,79.71,平层/精装,265.0,天宫院小区,大兴,配备电梯,2023年12月30日,普通住宅,33246
2室1厅,低楼层/共17层,69.89,平层/精装,215.0,康宜家园北区,大兴,配备电梯,2023年12月28日,普通住宅,30763
2室1厅,中楼层/共6层,68.94,平层/简装,188.0,福苑小区,大兴,无,2023年12月28日,普通住宅,27271
2室1厅,顶层/共6层,71.57,平层/毛坯,190.0,清和园,大兴,无,2023年12月29日,普通住宅,26548
2室1厅,高楼层/共6层,69.41,平层/简装,238.0,车站北里,大兴,无,2023年12月31日,普通住宅,34290
1室1厅,中楼层/共14层,78.71,平层/精装,225.0,首座御园一区二期,大兴,配备电梯,2023年12月30日,普通住宅,28586
1室1厅,高楼层/共16层,62.24,平层/简装,210.0,首开康乃馨城,大兴,配备电梯,2023年12月27日,普通住宅,33741
2室2厅,低楼层/共12层,94.27,平层/简装,330.0,首座御园二期北区三期,大兴,配备电梯,2023年12月27日,普通住宅,35006
2室1厅,低楼层/共15层,72.93,平层/简装,258.0,美宅湾,大兴,配备电梯,2023年12月28日,普通住宅,35377
2室1厅,顶层/共5层,52.74,平层/其他,169.0,红星楼,大兴,无,2023年12月27日,普通住宅,32044
1室1厅,底层/共5层,52.03,平层/简装,180.0,团河苑,大兴,无,2023年12月26日,普通住宅,34596
2室1厅,中楼层/共9层,92.89,平层/简装,260.0,金色漫香郡南区,大兴,配备电梯,2023年12月28日,普通住宅,27991
2室2厅,中楼层/共7层,96.47,平层/精装,436.0,郁花园二里,大兴,无,2023年12月24日,普通住宅,45196
2室1厅,高楼层/共11层,102.39,平层/简装,415.0,幻星家园,大兴,配备电梯,2023年12月26日,普通住宅,40532
4室2厅,低楼层/共26层,96.09,平层/精装,389.0,保利首开熙悦春天,大兴,配备电梯,2023年12月24日,普通住宅,40483
2室1厅,低楼层/共6层,85.77,平层/简装,410.0,芳源里,大兴,无,2023年12月24日,普通住宅,47803
1室1厅,中楼层/共15层,52.43,平层/简装,185.0,有德家苑5号院,大兴,配备电梯,2023年12月24日,普通住宅,35286
