户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
3室2厅,中楼层/共4层,129.19,错层/精装,220.0,燕语华庭,密云,无,2023年12月29日,普通住宅,17030
2室1厅,低楼层/共6层,58.09,平层/简装,120.0,富帛家属院,密云,无,2023年12月24日,普通住宅,20658
2室1厅,低楼层/共8层,73.3,平层/精装,182.0,通用博园,密云,配备电梯,2023年12月22日,普通住宅,24830
3室2厅,顶层/共6层,84.76,平层/简装,153.0,花园小区,密云,无,2023年12月21日,普通住宅,18051
3室1厅,中楼层/共17层,60.99,平层/精装,128.0,雲北小區,密云,配备电梯,2023年12月20日,普通住宅,20988
2室1厅,中楼层/共6层,72.65,平层/其他,155.0,矿山家属院,密云,无,2023年12月31日,普通住宅,21336
2室2厅,底层/共6层,80.24,平层/其他,159.0,果园西里,密云,无,2023年12月30日,普通住宅,19816
2室1厅,低楼层/共11层,92.02,平层/其他,212.0,中加荣园北区,密云,配备电梯,2023年12月29日,普通住宅,23039
3室2厅,低楼层/共9层,140.25,平层/简装,296.0,檀城西区,密云,配备电梯,2023年12月27日,普通住宅,21106
2室1厅,中楼层/共6层,83.55,平层/简装,172.0,宾阳北里,密云,无,2023年12月29日,普通住宅,20587
3室2厅,低楼层/共6层,128.21,平层/其他,300.0,花园小区,密云,无,2023年12月27日,普通住宅,23400
3室1厅,中楼层/共6层,101.95,平层/简装,230.0,兴云乙区,密云,无,2023年12月28日,普通住宅,22561
2室1厅,中楼层/共15层,76.03,平层/其他,165.0,阳光水岸家园,密云,配备电梯,2023年12月24日,普通住宅,21702
2室1厅,高楼层/共6层,96.33,平层/其他,170.0,车站路小区,密云,无,2023年12月26日,普通住宅,17648
2室1厅,低楼层/共14层,72.45,平层/其他,175.0,城建上河湾北区,密云,配备电梯,2023年12月31日,普通住宅,24155
3室1厅,顶层/共6层,100.07,平层/简装,188.0,宾阳西里北区,密云,无,2023年12月24日,普通住宅,18787
2室1厅,中楼层/共5层,51.7,平层/其他,65.0,北京机床研究所家属楼,密云,无,2023年12月21日,普通住宅,12573
1室1厅,高楼层/共6层,57.1,平层/简装,112.0,石桥小区,密云,无,2023年12月22日,普通住宅,19615
