户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
1室1厅,低楼层/共18层,61.7,平层/毛坯,130,腾飞园,平谷,配备电梯,2023年06月07日,普通住宅,21070
2室1厅,顶层/共3层,86.49,平层/简装,110,夏各庄内环南路17号院,平谷,无,2023年09月25日,普通住宅,12719
1室1厅,中楼层/共18层,62.5,平层/精装,128,腾飞园,平谷,配备电梯,2023年10月08日,普通住宅,20480
2室1厅,顶层/共8层,76.29,平层/其他,180,紫贵御园,平谷,配备电梯,2023年12月23日,普通住宅,23595
3室2厅,高楼层/共30层,118.67,平层/精装,356,天润香墅湾1号,平谷,无,2023年12月18日,普通住宅,30000
3室2厅,高楼层/共26层,143.86,平层/精装,425,天润香墅湾1号,平谷,无,2023年12月05日,普通住宅,29543
2室2厅,底层/共26层,117.31,平层/精装,275,天润香墅湾1号,平谷,无,2023年11月06日,普通住宅,23443
2室1厅,低楼层/共15层,89.02,平层/其他,210,首城汇景湾（金河街108号院）,平谷,配备电梯,2023年11月05日,普通住宅,23591
3室2厅,顶层/共4层,99.11,平层/精装,165,航宇街,平谷,无,2023年11月05日,普通住宅,16649
3室2厅,低楼层/共18层,133.92,平层/其他,289,首城汇景湾（金河北街8号院）,平谷,配备电梯,2023年10月18日,普通住宅,21581
3室1厅,低楼层/共18层,154.79,平层/其他,335,首城汇景湾（金河北街8号院）,平谷,配备电梯,2023年11月04日,普通住宅,21643
3室2厅,低楼层/共18层,153.67,平层/精装,320,首城汇景湾（金河北街8号院）,平谷,配备电梯,2023年10月14日,普通住宅,20824
2室1厅,高楼层/共17层,63.97,平层/精装,148,紫贵御园,平谷,配备电梯,2023年10月11日,普通住宅,23136
3室2厅,中楼层/共13层,136.56,平层/精装,285,首城汇景湾（金河北街6号院）,平谷,配备电梯,2023年11月22日,普通住宅,20870
2室2厅,低楼层/共18层,93.25,平层/精装,245,平谷瑞丰花园,平谷,配备电梯,2023年09月19日,普通住宅,26274
3室2厅,中楼层/共6层,193.04,平层/精装,598,天润香墅湾1号,平谷,无,2023年08月31日,普通住宅,30979
3室2厅,中楼层/共26层,142.23,平层/其他,415,天润香墅湾1号,平谷,无,2023年08月12日,普通住宅,29179
3室2厅,中楼层/共26层,143.86,平层/其他,450,天润香墅湾1号,平谷,无,2023年07月20日,普通住宅,31281
3室2厅,高楼层/共26层,117.5,平层/精装,350,天润香墅湾1号,平谷,无,2023年07月17日,普通住宅,29788
2室1厅,底层/共6层,59.01,平层/简装,160,金乡西小区,平谷,无,2023年08月08日,普通住宅,27115
1室1厅,中楼层/共18层,67.88,平层/精装,160,首城汇景湾（梨羊路5号院）,平谷,配备电梯,2023年06月17日,普通住宅,23572
2室1厅,中楼层/共17层,88.61,平层/精装,180,新华联慧谷,平谷,配备电梯,2023年06月19日,普通住宅,20314
3室1厅,中楼层/共5层,89.17,平层/简装,240,春曦园小区,平谷,无,2023年06月16日,普通住宅,26915
3室2厅,低楼层/共16层,155.89,平层/其他,285,首城汇景湾（金河北街6号院）,平谷,配备电梯,2023年06月29日,普通住宅,18283
3室2厅,高楼层/共14层,130.56,平层/精装,278,首城汇景湾（金河街112号院）,平谷,配备电梯,2022年11月16日,普通住宅,21293
3室1厅,底层/共18层,134.44,平层/简装,200,腾飞园,平谷,配备电梯,2022年08月22日,普通住宅,14877
3室2厅,中楼层/共18层,141.35,平层/毛坯,205,腾飞园,平谷,配备电梯,2022年06月08日,普通住宅,14504
2室1厅,中楼层/共18层,107.28,平层/毛坯,182,腾飞园,平谷,配备电梯,2022年05月10日,普通住宅,16965
3室1厅,高楼层/共9层,152.87,平层/精装,305,首城汇景湾（梨羊路5号院）,平谷,配备电梯,2024年01月03日,普通住宅,19952
2室1厅,中楼层/共15层,75.74,平层/精装,174,紫贵御园,平谷,配备电梯,2023年12月01日,普通住宅,22974
3室2厅,低楼层/共17层,100.81,平层/其他,215,新华联慧谷,平谷,配备电梯,2023年12月04日,普通住宅,21328
3室2厅,中楼层/共18层,153.67,平层/精装,305,首城汇景湾（金河北街8号院）,平谷,配备电梯,2023年11月16日,普通住宅,19848
2室1厅,高楼层/共18层,70.52,平层/其他,172,首城汇景湾（梨羊路5号院）,平谷,配备电梯,2023年11月10日,普通住宅,24391
4室2厅,底层/共3层,338.11,复式/其他,696,首城汇景墅（金河街108号院）,平谷,无,2023年11月17日,普通住宅,20586
3室1厅,底层/共10层,123.55,平层/其他,310,首城汇景湾（金河街108号院）,平谷,配备电梯,2023年10月20日,普通住宅,25092
3室2厅,低楼层/共14层,136.08,平层/其他,272,首城汇景湾（金河街112号院）,平谷,配备电梯,2023年10月08日,普通住宅,19989
