户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
2室2厅,中楼层/共6层,84.58平米,平层/简装,80,龙聚山庄,延庆,房屋朝向,,"2023年09月10日
                                                                            ","普通住宅
                                                                            ",9459
2室1厅,中楼层/共6层,66.21平米,平层/精装,85,城建万科城,延庆,房屋朝向,,"2023年09月15日
                                                                            ","普通住宅
                                                                            ",12838
3室2厅,中楼层/共5层,110.42平米,平层/精装,128,八达岭住宅小区,延庆,房屋朝向,,"2023年05月17日
                                                                            ","普通住宅
                                                                            ",11593
2室1厅,低楼层/共6层,57.77平米,平层/其他,85,城建万科城,延庆,房屋朝向,配备电梯,"2023年02月23日
                                                                            ","普通住宅
                                                                            ",14714
2室2厅,低楼层/共6层,114.33平米,平层/其他,255,高塔小区,延庆,房屋朝向,,"2023年11月15日
                                                                            ","普通住宅
                                                                            ",22304
2室2厅,中楼层/共9层,74.72平米,平层/其他,129,城建万科城,延庆,房屋朝向,,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",17265
3室1厅,中楼层/共5层,97.73平米,平层/其他,150,双路小区,延庆,房屋朝向,配备电梯,"2023年11月08日
                                                                            ","普通住宅
                                                                            ",15349
3室2厅,中楼层/共4层,104.92平米,平层/其他,105,龙聚山庄,延庆,房屋朝向,,"2023年11月10日
                                                                            ","普通住宅
                                                                            ",10008
2室1厅,高楼层/共9层,74.72平米,平层/其他,190,城建万科城,延庆,房屋朝向,配备电梯,"2023年11月04日
                                                                            ","普通住宅
                                                                            ",25429
2室2厅,低楼层/共9层,74.58平米,平层/精装,156,城建万科城,延庆,房屋朝向,配备电梯,"2023年10月09日
                                                                            ","普通住宅
                                                                            ",20918
3室1厅,底层/共6层,107.15平米,平层/其他,130,八达岭住宅小区,延庆,房屋朝向,,"2023年09月29日
                                                                            ","普通住宅
                                                                            ",12133
3室1厅,低楼层/共6层,96.17平米,平层/精装,124,龙庆望都佳园,延庆,房屋朝向,,"2023年10月22日
                                                                            ","普通住宅
                                                                            ",12894
3室2厅,中楼层/共4层,99.73平米,平层/其他,100,龙聚山庄,延庆,房屋朝向,,"2023年09月18日
                                                                            ","普通住宅
                                                                            ",10028
3室2厅,低楼层/共3层,99.73平米,平层/其他,100,龙聚山庄,延庆,房屋朝向,,"2023年09月18日
                                                                            ","普通住宅
                                                                            ",10028
2室2厅,顶层/共9层,70.65平米,平层/其他,115,城建万科城,延庆,房屋朝向,配备电梯,"2023年07月29日
                                                                            ","普通住宅
                                                                            ",16278
3室2厅,中楼层/共9层,89.9平米,平层/其他,170,城建万科城,延庆,房屋朝向,,"2023年07月24日
                                                                            ","普通住宅
                                                                            ",18910
2室2厅,中楼层/共9层,74.84平米,平层/其他,139,城建万科城,延庆,房屋朝向,配备电梯,"2023年09月10日
                                                                            ","普通住宅
                                                                            ",18573
2室1厅,底层/共4层,82.11平米,平层/简装,88,龙聚山庄,延庆,房屋朝向,,"2023年11月04日
                                                                            ","普通住宅
                                                                            ",10718
3室2厅,中楼层/共9层,89.99平米,平层/精装,257,城建万科城,延庆,房屋朝向,配备电梯,"2023年07月25日
                                                                            ","普通住宅
                                                                            ",28559
