户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
2室2厅,中楼层/共6层,84.58,平层/简装,80,龙聚山庄,延庆,无,2023年09月10日,普通住宅,9459
2室1厅,中楼层/共6层,66.21,平层/精装,85,城建万科城,延庆,无,2023年09月15日,普通住宅,12838
3室2厅,中楼层/共5层,110.42,平层/精装,128,八达岭住宅小区,延庆,无,2023年05月17日,普通住宅,11593
2室1厅,低楼层/共6层,57.77,平层/其他,85,城建万科城,延庆,配备电梯,2023年02月23日,普通住宅,14714
2室2厅,低楼层/共6层,114.33,平层/其他,255,高塔小区,延庆,无,2023年11月15日,普通住宅,22304
2室2厅,中楼层/共9层,74.72,平层/其他,129,城建万科城,延庆,无,2023年12月18日,普通住宅,17265
3室1厅,中楼层/共5层,97.73,平层/其他,150,双路小区,延庆,配备电梯,2023年11月08日,普通住宅,15349
3室2厅,中楼层/共4层,104.92,平层/其他,105,龙聚山庄,延庆,无,2023年11月10日,普通住宅,10008
2室1厅,高楼层/共9层,74.72,平层/其他,190,城建万科城,延庆,配备电梯,2023年11月04日,普通住宅,25429
2室2厅,低楼层/共9层,74.58,平层/精装,156,城建万科城,延庆,配备电梯,2023年10月09日,普通住宅,20918
3室1厅,底层/共6层,107.15,平层/其他,130,八达岭住宅小区,延庆,无,2023年09月29日,普通住宅,12133
3室1厅,低楼层/共6层,96.17,平层/精装,124,龙庆望都佳园,延庆,无,2023年10月22日,普通住宅,12894
3室2厅,中楼层/共4层,99.73,平层/其他,100,龙聚山庄,延庆,无,2023年09月18日,普通住宅,10028
3室2厅,低楼层/共3层,99.73,平层/其他,100,龙聚山庄,延庆,无,2023年09月18日,普通住宅,10028
2室2厅,顶层/共9层,70.65,平层/其他,115,城建万科城,延庆,配备电梯,2023年07月29日,普通住宅,16278
3室2厅,中楼层/共9层,89.9,平层/其他,170,城建万科城,延庆,无,2023年07月24日,普通住宅,18910
2室2厅,中楼层/共9层,74.84,平层/其他,139,城建万科城,延庆,配备电梯,2023年09月10日,普通住宅,18573
2室1厅,底层/共4层,82.11,平层/简装,88,龙聚山庄,延庆,无,2023年11月04日,普通住宅,10718
3室2厅,中楼层/共9层,89.99,平层/精装,257,城建万科城,延庆,配备电梯,2023年07月25日,普通住宅,28559
2室2厅,顶层/共4层,84.58,平层/其他,95,龙聚山庄,延庆,无,2023年07月11日,普通住宅,11232
2室1厅,底层/共1层,82.11,平层/精装,99,龙聚山庄,延庆,无,2023年07月11日,普通住宅,12057
3室1厅,中楼层/共8层,92.21,平层/其他,155,城建万科城,延庆,配备电梯,2023年07月27日,普通住宅,16810
1室2厅,顶层/共9层,70.22,平层/其他,160,城建万科城,延庆,配备电梯,2023年07月31日,普通住宅,22786
2室1厅,低楼层/共9层,74.58,平层/其他,160,城建万科城,延庆,配备电梯,2023年12月29日,普通住宅,21454
2室1厅,中楼层/共9层,75.35,平层/其他,130,城建万科城,延庆,配备电梯,2023年06月18日,普通住宅,17253
3室1厅,中楼层/共6层,96,平层/简装,110,龙庆望都佳园,延庆,配备电梯,2023年07月31日,普通住宅,11459
2室1厅,中楼层/共4层,82.11,平层/简装,80,龙聚山庄,延庆,配备电梯,2023年06月08日,普通住宅,9744
3室2厅,高楼层/共9层,89.99,平层/其他,198,城建万科城,延庆,配备电梯,2023年05月30日,普通住宅,22003
2室1厅,中楼层/共9层,75,平层/其他,155,城建万科城,延庆,配备电梯,2023年12月20日,普通住宅,20667
2室1厅,低楼层/共9层,74.72,平层/精装,140,城建万科城,延庆,配备电梯,2023年05月18日,普通住宅,18737
2室1厅,低楼层/共9层,74.58,平层/其他,119,城建万科城,延庆,配备电梯,2023年05月18日,普通住宅,15957
3室1厅,高楼层/共9层,92.46,平层/其他,195,城建万科城,延庆,配备电梯,2023年05月28日,普通住宅,21091
2室2厅,底层/共9层,79.1,平层/其他,240,城建万科城,延庆,配备电梯,2023年05月07日,普通住宅,30342
3室2厅,中楼层/共9层,91.91,平层/其他,207,城建万科城,延庆,配备电梯,2023年05月04日,普通住宅,22523
2室2厅,低楼层/共9层,75.08,平层/其他,140,城建万科城,延庆,配备电梯,2023年05月11日,普通住宅,18647
2室1厅,低楼层/共9层,74.72,平层/精装,136,城建万科城,延庆,配备电梯,2023年04月20日,普通住宅,18202
2室2厅,低楼层/共8层,76.95,平层/其他,186,城建万科城,延庆,配备电梯,2023年05月16日,普通住宅,24172
3室2厅,中楼层/共5层,107.15,平层/其他,138,八达岭住宅小区,延庆,无,2023年04月16日,普通住宅,12880
