户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
2室1厅,中楼层/共13层,69.33平米,平层/精装,145,柏泉庄园雁鸣园B区,怀柔,房屋朝向,配备电梯,"2023年12月29日
                                                                            ","普通住宅
                                                                            ",20915
2室1厅,顶层/共9层,65.99平米,平层/简装,138,育龙铭居,怀柔,房屋朝向,,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",20913
2室1厅,中楼层/共5层,59.24平米,平层/简装,160,湖光小区,怀柔,房屋朝向,,"2023年12月15日
                                                                            ","普通住宅
                                                                            ",27009
4室2厅,高楼层/共12层,148.5平米,平层/精装,698,北京城建·府前龙樾,怀柔,房屋朝向,,"2023年12月09日
                                                                            ","普通住宅
                                                                            ",47004
2室1厅,中楼层/共7层,92.08平米,平层/精装,230,世嘉光织谷东区,怀柔,房屋朝向,配备电梯,"2023年12月15日
                                                                            ","普通住宅
                                                                            ",24979
2室1厅,中楼层/共6层,60平米,平层/简装,138,富乐社区一号院,怀柔,房屋朝向,,"2023年12月25日
                                                                            ","普通住宅
                                                                            ",23000
2室1厅,中楼层/共6层,92.15平米,平层/简装,238,世嘉光织谷东区,怀柔,房屋朝向,配备电梯,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",25828
2室1厅,中楼层/共5层,58.42平米,平层/其他,153,滨湖小区,怀柔,房屋朝向,,"2023年12月16日
                                                                            ","普通住宅
                                                                            ",26190
3室2厅,中楼层/共6层,115.86平米,平层/精装,335,北大街1号院,怀柔,房屋朝向,,"2023年12月13日
                                                                            ","普通住宅
                                                                            ",28915
2室1厅,中楼层/共11层,81.12平米,平层/精装,180,育龙馨居,怀柔,房屋朝向,,"2023年12月11日
                                                                            ","普通住宅
                                                                            ",22190
2室1厅,中楼层/共14层,85.03平米,平层/毛坯,140,安乐馨居,怀柔,房屋朝向,,"2023年12月15日
                                                                            ","普通住宅
                                                                            ",16465
3室2厅,顶层/共6层,102.14平米,平层/简装,239,和泰家园,怀柔,房屋朝向,,"2023年12月08日
                                                                            ","普通住宅
                                                                            ",23400
2室1厅,中楼层/共5层,56.38平米,平层/精装,150,湖光小区,怀柔,房屋朝向,,"2023年12月01日
                                                                            ","普通住宅
                                                                            ",26606
2室1厅,中楼层/共9层,65.94平米,平层/简装,150,育龙铭居,怀柔,房屋朝向,,"2023年12月02日
                                                                            ","普通住宅
                                                                            ",22748
2室1厅,低楼层/共15层,65.93平米,平层/简装,125,裕华园一区,怀柔,房屋朝向,配备电梯,"2023年12月03日
                                                                            ","普通住宅
                                                                            ",18960
2室1厅,中楼层/共6层,79.42平米,平层/简装,215,东关一区,怀柔,房屋朝向,,"2023年11月20日
                                                                            ","普通住宅
                                                                            ",27072
3室1厅,中楼层/共5层,90.47平米,平层/简装,239,迎宾北路小区,怀柔,房屋朝向,,"2023年11月23日
                                                                            ","普通住宅
                                                                            ",26418
2室1厅,中楼层/共15层,84.39平米,平层/精装,170,安乐馨居,怀柔,房屋朝向,配备电梯,"2023年11月16日
                                                                            ","普通住宅
                                                                            ",20145
3室1厅,中楼层/共6层,88.83平米,平层/精装,178,融城园南区,怀柔,房屋朝向,,"2023年11月16日
                                                                            ","普通住宅
                                                                            ",20039
2室1厅,中楼层/共7层,50.49平米,平层/简装,145,龍祥小區,怀柔,房屋朝向,,"2023年11月12日
                                                                            ","普通住宅
                                                                            ",28719
3室1厅,中楼层/共5层,78.18平米,平层/简装,212,于家园三区,怀柔,房屋朝向,,"2023年11月09日
                                                                            ","普通住宅
                                                                            ",27117
2室1厅,中楼层/共9层,65.81平米,平层/简装,150,育龙铭居,怀柔,房屋朝向,,"2023年10月26日
                                                                            ","普通住宅
                                                                            ",22793
2室1厅,中楼层/共6层,64.49平米,平层/精装,190,龙湖花园,怀柔,房屋朝向,,"2023年10月25日
                                                                            ","普通住宅
                                                                            ",29462
3室2厅,低楼层/共6层,113.84平米,平层/精装,305,泉河园二区,怀柔,房屋朝向,,"2023年10月21日
                                                                            ","普通住宅
                                                                            ",26792
2室1厅,顶层/共6层,62.83平米,平层/简装,155,青春路九院,怀柔,房屋朝向,,"2023年10月27日
                                                                            ","普通住宅
                                                                            ",24670
3室2厅,顶层/共6层,110.7平米,平层/简装,225,兴怀大街14号院,怀柔,房屋朝向,,"2023年10月15日
                                                                            ","普通住宅
                                                                            ",20326
3室1厅,中楼层/共6层,77.97平米,平层/精装,225,金台园,怀柔,房屋朝向,,"2023年10月14日
                                                                            ","普通住宅
                                                                            ",28858
2室1厅,中楼层/共5层,88.62平米,平层/其他,280,顶秀美泉小镇B区,怀柔,房屋朝向,,"2023年10月13日
                                                                            ","普通住宅
                                                                            ",31596
2室1厅,中楼层/共6层,92.85平米,平层/简装,230,世嘉光织谷西区,怀柔,房屋朝向,配备电梯,"2023年10月14日
                                                                            ","普通住宅
                                                                            ",24772
3室1厅,低楼层/共6层,70.94平米,平层/简装,179,南华园二区,怀柔,房屋朝向,,"2023年10月06日
                                                                            ","普通住宅
                                                                            ",25233
2室1厅,顶层/共9层,65.99平米,平层/精装,133,育龙铭居,怀柔,房屋朝向,,"2023年09月23日
                                                                            ","普通住宅
                                                                            ",20155
2室1厅,中楼层/共5层,95.51平米,平层/精装,186,富乐家园,怀柔,房屋朝向,,"2023年09月23日
                                                                            ","普通住宅
                                                                            ",19475
2室1厅,高楼层/共6层,61.5平米,平层/精装,138,金善名居,怀柔,房屋朝向,,"2023年09月18日
                                                                            ","普通住宅
                                                                            ",22440
2室1厅,中楼层/共4层,88.76平米,平层/其他,259,顶秀美泉小镇A区,怀柔,房屋朝向,,"2023年09月18日
                                                                            ","普通住宅
                                                                            ",29180
3室2厅,中楼层/共4层,133.79平米,平层/精装,359,顶秀美泉小镇A区,怀柔,房屋朝向,,"2023年09月16日
                                                                            ","普通住宅
                                                                            ",26834
3室1厅,中楼层/共6层,95.04平米,平层/精装,185,凤翔四园,怀柔,房屋朝向,,"2023年09月16日
                                                                            ","普通住宅
                                                                            ",19466
3室1厅,低楼层/共6层,73.1平米,平层/其他,206,于家园二区北院,怀柔,房屋朝向,,"2023年09月03日
                                                                            ","普通住宅
                                                                            ",28181
1室1厅,低楼层/共15层,48.21平米,平层/简装,88,裕华园一区,怀柔,房屋朝向,配备电梯,"2023年09月01日
                                                                            ","普通住宅
                                                                            ",18254
2室1厅,中楼层/共4层,56.41平米,平层/简装,158,青春路,怀柔,房屋朝向,,"2023年09月01日
                                                                            ","普通住宅
                                                                            ",28010
2室1厅,中楼层/共5层,57平米,平层/简装,155,后横街小区,怀柔,房屋朝向,,"2023年09月03日
                                                                            ","普通住宅
                                                                            ",27193
1室1厅,底层/共15层,51.74平米,平层/简装,93,裕华园一区,怀柔,房屋朝向,,"2023年09月02日
                                                                            ","普通住宅
                                                                            ",17975
3室1厅,中楼层/共6层,84.67平米,平层/精装,248,商业街,怀柔,房屋朝向,,"2023年08月27日
                                                                            ","普通住宅
                                                                            ",29291
1室1厅,底层/共11层,57.8平米,平层/简装,168,北京城建胜悦居,怀柔,房屋朝向,配备电梯,"2023年08月23日
                                                                            ","普通住宅
                                                                            ",29066
3室1厅,中楼层/共7层,88.15平米,平层/简装,175,东关一区,怀柔,房屋朝向,,"2023年08月24日
                                                                            ","普通住宅
                                                                            ",19853
2室1厅,底层/共8层,90.08平米,平层/简装,279,新贤家园,怀柔,房屋朝向,配备电梯,"2023年08月14日
                                                                            ","普通住宅
                                                                            ",30973
