户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
2室1厅,中楼层/共13层,69.33,平层/精装,145,柏泉庄园雁鸣园B区,怀柔,配备电梯,2023年12月29日,普通住宅,20915
2室1厅,顶层/共9层,65.99,平层/简装,138,育龙铭居,怀柔,无,2023年12月20日,普通住宅,20913
2室1厅,中楼层/共5层,59.24,平层/简装,160,湖光小区,怀柔,无,2023年12月15日,普通住宅,27009
4室2厅,高楼层/共12层,148.5,平层/精装,698,北京城建·府前龙樾,怀柔,无,2023年12月09日,普通住宅,47004
2室1厅,中楼层/共7层,92.08,平层/精装,230,世嘉光织谷东区,怀柔,配备电梯,2023年12月15日,普通住宅,24979
2室1厅,中楼层/共6层,60,平层/简装,138,富乐社区一号院,怀柔,无,2023年12月25日,普通住宅,23000
2室1厅,中楼层/共6层,92.15,平层/简装,238,世嘉光织谷东区,怀柔,配备电梯,2023年12月20日,普通住宅,25828
2室1厅,中楼层/共5层,58.42,平层/其他,153,滨湖小区,怀柔,无,2023年12月16日,普通住宅,26190
3室2厅,中楼层/共6层,115.86,平层/精装,335,北大街1号院,怀柔,无,2023年12月13日,普通住宅,28915
2室1厅,中楼层/共11层,81.12,平层/精装,180,育龙馨居,怀柔,无,2023年12月11日,普通住宅,22190
2室1厅,中楼层/共14层,85.03,平层/毛坯,140,安乐馨居,怀柔,无,2023年12月15日,普通住宅,16465
3室2厅,顶层/共6层,102.14,平层/简装,239,和泰家园,怀柔,无,2023年12月08日,普通住宅,23400
2室1厅,中楼层/共5层,56.38,平层/精装,150,湖光小区,怀柔,无,2023年12月01日,普通住宅,26606
2室1厅,中楼层/共9层,65.94,平层/简装,150,育龙铭居,怀柔,无,2023年12月02日,普通住宅,22748
2室1厅,低楼层/共15层,65.93,平层/简装,125,裕华园一区,怀柔,配备电梯,2023年12月03日,普通住宅,18960
2室1厅,中楼层/共6层,79.42,平层/简装,215,东关一区,怀柔,无,2023年11月20日,普通住宅,27072
3室1厅,中楼层/共5层,90.47,平层/简装,239,迎宾北路小区,怀柔,无,2023年11月23日,普通住宅,26418
2室1厅,中楼层/共15层,84.39,平层/精装,170,安乐馨居,怀柔,配备电梯,2023年11月16日,普通住宅,20145
3室1厅,中楼层/共6层,88.83,平层/精装,178,融城园南区,怀柔,无,2023年11月16日,普通住宅,20039
2室1厅,中楼层/共7层,50.49,平层/简装,145,龍祥小區,怀柔,无,2023年11月12日,普通住宅,28719
3室1厅,中楼层/共5层,78.18,平层/简装,212,于家园三区,怀柔,无,2023年11月09日,普通住宅,27117
2室1厅,中楼层/共9层,65.81,平层/简装,150,育龙铭居,怀柔,无,2023年10月26日,普通住宅,22793
2室1厅,中楼层/共6层,64.49,平层/精装,190,龙湖花园,怀柔,无,2023年10月25日,普通住宅,29462
3室2厅,低楼层/共6层,113.84,平层/精装,305,泉河园二区,怀柔,无,2023年10月21日,普通住宅,26792
2室1厅,顶层/共6层,62.83,平层/简装,155,青春路九院,怀柔,无,2023年10月27日,普通住宅,24670
3室2厅,顶层/共6层,110.7,平层/简装,225,兴怀大街14号院,怀柔,无,2023年10月15日,普通住宅,20326
3室1厅,中楼层/共6层,77.97,平层/精装,225,金台园,怀柔,无,2023年10月14日,普通住宅,28858
2室1厅,中楼层/共5层,88.62,平层/其他,280,顶秀美泉小镇B区,怀柔,无,2023年10月13日,普通住宅,31596
