户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
3室1厅,中楼层/共21层,89.73平米,平层/简装,650,首开国风美唐三期,昌平,房屋朝向,配备电梯,"2023年12月29日
                                                                            ","普通住宅
                                                                            ",72440
2室2厅,顶层/共5层,85.51平米,平层/精装,248,金明园,昌平,房屋朝向,,"2023年12月29日
                                                                            ","普通住宅
                                                                            ",29003
2室1厅,中楼层/共8层,97.06平米,平层/简装,495,新龙城,昌平,房屋朝向,配备电梯,"2023年12月29日
                                                                            ","普通住宅
                                                                            ",51000
2室2厅,高楼层/共6层,98.2平米,平层/精装,458,骊龙园,昌平,房屋朝向,,"2023年12月28日
                                                                            ","普通住宅
                                                                            ",46640
3室1厅,中楼层/共7层,121.83平米,平层/精装,504,天通苑中苑,昌平,房屋朝向,,"2023年12月29日
                                                                            ","普通住宅
                                                                            ",41370
2室1厅,中楼层/共6层,97.87平米,平层/简装,475,龙腾苑三区,昌平,房屋朝向,,"2024年01月01日
                                                                            ","普通住宅
                                                                            ",48534
2室1厅,低楼层/共28层,89.54平米,平层/简装,539,金域华府一期,昌平,房屋朝向,配备电梯,"2023年12月30日
                                                                            ","普通住宅
                                                                            ",60197
3室1厅,高楼层/共19层,140.62平米,平层/其他,559,天通苑东二区,昌平,房屋朝向,配备电梯,"2023年12月30日
                                                                            ","普通住宅
                                                                            ",39753
2室2厅,中楼层/共6层,99.67平米,平层/精装,480,龙跃苑四区,昌平,房屋朝向,,"2023年12月29日
                                                                            ","普通住宅
                                                                            ",48159
3室1厅,高楼层/共32层,176.12平米,平层/精装,509,天通苑东一区,昌平,房屋朝向,配备电梯,"2023年12月28日
                                                                            ","普通住宅
                                                                            ",28901
3室1厅,中楼层/共6层,131.35平米,平层/精装,556,龙腾苑四区,昌平,房屋朝向,,"2023年12月28日
                                                                            ","普通住宅
                                                                            ",42330
1室0厅,高楼层/共18层,25.55平米,平层/精装,148,北街家园六区,昌平,房屋朝向,配备电梯,"2023年12月28日
                                                                            ","普通住宅
                                                                            ",57926
2室1厅,顶层/共6层,96.73平米,平层/精装,419,龙腾苑三区,昌平,房屋朝向,,"2023年12月26日
                                                                            ","普通住宅
                                                                            ",43317
1室2厅,顶层/共6层,68.89平米,平层/其他,199,冠雅苑,昌平,房屋朝向,,"2023年12月26日
                                                                            ","普通住宅
                                                                            ",28887
2室1厅,底层/共28层,87.29平米,平层/简装,430,融泽嘉园中路1号院,昌平,房屋朝向,配备电梯,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",49262
1室1厅,中楼层/共6层,40.25平米,平层/简装,91,桥梁厂小区,昌平,房屋朝向,,"2023年12月25日
                                                                            ","普通住宅
                                                                            ",22609
3室2厅,低楼层/共28层,116.41平米,平层/精装,905,金域华府二期,昌平,房屋朝向,配备电梯,"2023年12月25日
                                                                            ","普通住宅
                                                                            ",77743
2室1厅,顶层/共6层,66.15平米,平层/精装,210,城角西路11号院,昌平,房屋朝向,,"2023年12月24日
                                                                            ","普通住宅
                                                                            ",31747
3室1厅,中楼层/共5层,106.82平米,平层/简装,418,都市芳园丽湖园,昌平,房屋朝向,,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",39132
2室1厅,高楼层/共6层,89.62平米,平层/精装,345,望都新地二期,昌平,房屋朝向,,"2023年12月24日
                                                                            ","普通住宅
                                                                            ",38496
1室0厅,中楼层/共18层,25.55平米,平层/其他,149,北街家园六区,昌平,房屋朝向,配备电梯,"2023年12月24日
                                                                            ","普通住宅
                                                                            ",58318
2室1厅,中楼层/共11层,92.69平米,平层/精装,668,首开国风美唐一期,昌平,房屋朝向,配备电梯,"2023年12月31日
                                                                            ","普通住宅
                                                                            ",72069
2室1厅,高楼层/共6层,82.5平米,平层/简装,389,龙乡中区,昌平,房屋朝向,,"2023年12月23日
                                                                            ","普通住宅
                                                                            ",47152
3室2厅,中楼层/共7层,98.36平米,平层/精装,498,龙兴园南区,昌平,房屋朝向,,"2023年12月24日
                                                                            ","普通住宅
                                                                            ",50631
3室1厅,中楼层/共6层,129.99平米,平层/简装,450,慧华苑,昌平,房屋朝向,,"2023年12月25日
                                                                            ","普通住宅
                                                                            ",34619
2室1厅,中楼层/共13层,99.92平米,平层/精装,475,天通西苑一区,昌平,房屋朝向,配备电梯,"2023年12月24日
                                                                            ","普通住宅
                                                                            ",47539
4室2厅,中楼层/共14层,197.38平米,平层/简装,638,天通西苑三区,昌平,房屋朝向,配备电梯,"2023年12月23日
                                                                            ","普通住宅
                                                                            ",32324
2室1厅,高楼层/共22层,74.06平米,平层/精装,275,金隅万科城悦嘉公寓,昌平,房屋朝向,配备电梯,"2023年12月23日
                                                                            ","普通住宅
                                                                            ",37133
3室2厅,低楼层/共28层,116.8平米,平层/精装,868,金域华府二期,昌平,房屋朝向,配备电梯,"2023年12月23日
                                                                            ","普通住宅
                                                                            ",74316
2室1厅,高楼层/共6层,103.14平米,平层/简装,405,天通苑四区,昌平,房屋朝向,,"2023年12月22日
                                                                            ","普通住宅
                                                                            ",39268
3室1厅,中楼层/共21层,104.49平米,平层/其他,389,北京城建畅悦居A区,昌平,房屋朝向,配备电梯,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",37229
2室1厅,中楼层/共32层,96.7平米,平层/简装,390,天通苑东一区,昌平,房屋朝向,配备电梯,"2023年12月22日
                                                                            ","普通住宅
                                                                            ",40331
3室2厅,低楼层/共7层,127.38平米,平层/简装,469,天通苑东二区,昌平,房屋朝向,,"2023年12月23日
                                                                            ","普通住宅
                                                                            ",36819
3室1厅,低楼层/共18层,87.65平米,平层/简装,325,北街家园六区,昌平,房屋朝向,配备电梯,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",37080
2室1厅,低楼层/共17层,106.67平米,平层/简装,390,天通苑东二区,昌平,房屋朝向,配备电梯,"2023年12月19日
                                                                            ","普通住宅
                                                                            ",36562
2室2厅,低楼层/共17层,114.63平米,平层/精装,409,天通苑北二区,昌平,房屋朝向,配备电梯,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",35681
2室1厅,中楼层/共9层,85.84平米,平层/精装,430,领秀慧谷A区,昌平,房屋朝向,,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",50094
2室1厅,高楼层/共22层,75.82平米,平层/精装,318,金隅嘉和园,昌平,房屋朝向,配备电梯,"2023年12月19日
                                                                            ","普通住宅
                                                                            ",41942
3室1厅,低楼层/共18层,77.47平米,平层/精装,376,北街家园六区,昌平,房屋朝向,配备电梯,"2023年12月23日
                                                                            ","普通住宅
                                                                            ",48535
2室1厅,低楼层/共7层,83.57平米,平层/简装,310,宁馨苑,昌平,房屋朝向,,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",37095
2室1厅,中楼层/共18层,72.11平米,平层/简装,270,北街家园六区,昌平,房屋朝向,配备电梯,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",37443
3室2厅,低楼层/共6层,107.12平米,平层/简装,435,东关南里小区,昌平,房屋朝向,,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",40609
3室1厅,高楼层/共6层,99.79平米,平层/精装,398,北郊农场宿舍,昌平,房屋朝向,,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",39884
3室1厅,中楼层/共6层,118.33平米,平层/简装,559,和谐家园一区,昌平,房屋朝向,,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",47241
2室1厅,中楼层/共11层,101.85平米,平层/精装,449,天通苑中苑,昌平,房屋朝向,配备电梯,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",44085
2室1厅,中楼层/共6层,95.51平米,平层/简装,426,天通苑五区,昌平,房屋朝向,,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",44603
1室1厅,低楼层/共33层,62.51平米,平层/精装,365,融泽嘉园中路1号院,昌平,房屋朝向,配备电梯,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",58391
2室1厅,中楼层/共7层,93.14平米,平层/精装,439,天慧园,昌平,房屋朝向,,"2023年12月30日
                                                                            ","普通住宅
                                                                            ",47134
3室1厅,中楼层/共20层,89.56平米,平层/简装,649,首开国风美唐三期,昌平,房屋朝向,配备电梯,"2023年12月24日
                                                                            ","普通住宅
                                                                            ",72466
2室1厅,顶层/共6层,69.77平米,平层/精装,358,龙乡东区,昌平,房屋朝向,,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",51312
3室1厅,中楼层/共6层,119.94平米,平层/精装,420,佰嘉城,昌平,房屋朝向,,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",35018
2室1厅,高楼层/共11层,81.59平米,平层/精装,438,路劲世界城二期,昌平,房屋朝向,配备电梯,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",53684
