户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
1室1厅,低楼层/共28层,62.79,平层/精装,345.0,北京新天地一期,朝阳,配备电梯,2023年12月31日,普通住宅,54946
1室1厅,顶层/共18层,56.91,平层/简装,240.0,松榆东里,朝阳,配备电梯,2023年12月30日,普通住宅,42172
2室1厅,中楼层/共6层,60.81,平层/简装,410.0,南沙滩小区,朝阳,无,2023年12月31日,普通住宅,67424
3室1厅,底层/共6层,79.15,平层/简装,485.0,康家园,朝阳,无,2023年12月31日,普通住宅,61277
2室1厅,高楼层/共22层,88.85,平层/精装,489.0,富力阳光美园,朝阳,配备电梯,2023年12月30日,普通住宅,55037
2室1厅,中楼层/共6层,71.3,平层/精装,355.0,建东苑,朝阳,无,2023年12月30日,普通住宅,49790
1室0厅,低楼层/共23层,45.77,平层/简装,248.0,北辰福第六号院,朝阳,配备电梯,2023年12月30日,普通住宅,54184
3室2厅,低楼层/共29层,148.96,平层/精装,1130.0,嘉铭桐城C区,朝阳,配备电梯,2023年12月30日,普通住宅,75860
2室1厅,中楼层/共27层,82.73,平层/精装,440.0,北辰福第一号院,朝阳,配备电梯,2023年12月29日,普通住宅,53186
2室1厅,低楼层/共28层,97.42,平层/简装,780.0,芍药居北里,朝阳,配备电梯,2023年12月29日,普通住宅,80066
2室1厅,低楼层/共23层,78.09,平层/简装,390.0,北辰福第六号院,朝阳,配备电梯,2023年12月29日,普通住宅,49943
2室1厅,顶层/共6层,50.72,平层/精装,320.0,顺源里,朝阳,无,2023年12月30日,普通住宅,63092
2室1厅,低楼层/共21层,103.19,平层/简装,518.0,瑞和国际,朝阳,配备电梯,2023年12月29日,普通住宅,50199
1室1厅,中楼层/共9层,51.71,平层/简装,358.0,和平街十三区,朝阳,配备电梯,2023年12月29日,普通住宅,69233
2室2厅,高楼层/共25层,66.58,平层/精装,588.0,安慧里二区,朝阳,配备电梯,2023年12月28日,普通住宅,88315
2室1厅,低楼层/共22层,87.24,平层/精装,1050.0,富力城D区,朝阳,配备电梯,2023年12月28日,普通住宅,120358
2室1厅,底层/共6层,56.34,平层/简装,230.0,康静里,朝阳,无,2023年12月28日,普通住宅,40824
2室1厅,顶层/共5层,50.17,平层/精装,470.0,向军北里,朝阳,无,2023年12月29日,普通住宅,93682
2室1厅,高楼层/共24层,67.86,平层/简装,560.0,芍药居北里,朝阳,配备电梯,2023年12月28日,普通住宅,82523
2室1厅,高楼层/共18层,60.65,平层/简装,543.0,三丰里小区,朝阳,配备电梯,2023年12月28日,普通住宅,89531
2室1厅,中楼层/共12层,105.85,平层/精装,439.0,富东嘉园,朝阳,配备电梯,2023年12月28日,普通住宅,41474
2室1厅,高楼层/共24层,79.35,平层/精装,550.0,锦绣馨园,朝阳,配备电梯,2023年12月28日,普通住宅,69314
1室1厅,中楼层/共17层,82.11,平层/精装,550.0,远洋天地三期,朝阳,配备电梯,2023年12月28日,普通住宅,66984
2室2厅,顶层/共4层,80.56,平层/简装,740.0,卧龙小区,朝阳,无,2023年12月30日,普通住宅,91858
2室1厅,高楼层/共12层,82.23,平层/精装,530.0,苹果派,朝阳,配备电梯,2023年12月28日,普通住宅,64454
2室1厅,中楼层/共6层,60.43,平层/简装,380.0,花家地北里,朝阳,无,2023年12月27日,普通住宅,62883
3室1厅,低楼层/共6层,62.87,平层/简装,338.0,武圣东里,朝阳,配备电梯,2023年12月27日,普通住宅,53762
2室1厅,顶层/共6层,57.11,平层/精装,209.0,金星小区,朝阳,无,2023年12月29日,普通住宅,36597
2室1厅,顶层/共6层,60.51,平层/精装,358.0,西坝河北里,朝阳,无,2023年12月26日,普通住宅,59164
1室1厅,中楼层/共6层,46.08,平层/精装,268.0,八里庄北里小区,朝阳,无,2023年12月26日,普通住宅,58160
2室1厅,低楼层/共27层,82.73,平层/精装,420.0,北辰福第一号院,朝阳,配备电梯,2023年12月26日,普通住宅,50768
