户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
2室1厅,中楼层/共5层,55.25,平层/精装,490.0,万寿路1号院,海淀,无,2023年12月30日,普通住宅,88688
3室1厅,高楼层/共18层,68.9,平层/简装,618.0,黄亭子小区,海淀,配备电梯,2023年12月30日,普通住宅,89696
2室1厅,中楼层/共18层,102.27,平层/精装,1050.0,水清木华园,海淀,配备电梯,2023年12月29日,普通住宅,102670
1室1厅,高楼层/共28层,40.02,平层/精装,382.0,燕清源,海淀,配备电梯,2023年12月29日,普通住宅,95453
2室1厅,中楼层/共22层,75.19,平层/精装,765.0,逸成东苑,海淀,配备电梯,2023年12月29日,普通住宅,101743
2室1厅,中楼层/共24层,94.47,平层/简装,800.0,八家嘉园,海淀,配备电梯,2023年12月30日,普通住宅,84683
3室1厅,底层/共6层,68.2,平层/简装,680.0,首师大附中宿舍楼,海淀,无,2023年12月30日,普通住宅,99707
3室2厅,中楼层/共23层,111.24,平层/精装,1260.0,车道沟10号院,海淀,配备电梯,2023年12月30日,普通住宅,113269
1室1厅,中楼层/共18层,51.9,平层/简装,545.0,知春里,海淀,配备电梯,2023年12月28日,普通住宅,105010
1室1厅,底层/共5层,49.28,平层/简装,385.0,定慧北里,海淀,无,2023年12月27日,普通住宅,78125
2室1厅,高楼层/共6层,56.7,平层/精装,450.0,金沟河5号院,海淀,配备电梯,2023年12月27日,普通住宅,79366
3室1厅,中楼层/共17层,91.8,平层/精装,800.0,北洼西里,海淀,配备电梯,2023年12月28日,普通住宅,87146
2室2厅,高楼层/共11层,93.3,平层/精装,846.0,富力桃园B区,海淀,配备电梯,2023年12月27日,普通住宅,90676
2室1厅,低楼层/共6层,51.1,平层/简装,570.0,永定路西里,海淀,无,2023年12月28日,普通住宅,111546
2室1厅,底层/共6层,82.2,平层/精装,450.0,常秀家园,海淀,无,2023年12月27日,普通住宅,54745
1室1厅,高楼层/共15层,57.2,平层/精装,450.0,知本时代,海淀,配备电梯,2023年12月29日,普通住宅,78672
3室1厅,中楼层/共5层,76.24,平层/精装,970.0,农科院,海淀,无,2023年12月27日,普通住宅,127230
2室1厅,高楼层/共16层,48.2,平层/精装,505.0,海淀南路,海淀,配备电梯,2023年12月28日,普通住宅,104772
2室1厅,中楼层/共19层,74.5,平层/简装,675.0,北蜂窝路15号院,海淀,配备电梯,2023年12月27日,普通住宅,90605
3室1厅,中楼层/共5层,105.36,平层/简装,1260.0,芙蓉里,海淀,配备电梯,2023年12月27日,普通住宅,119590
2室1厅,中楼层/共9层,55.1,平层/简装,518.0,学院南路84号,海淀,配备电梯,2023年12月26日,普通住宅,94011
3室1厅,高楼层/共15层,172.93,平层/简装,1000.0,强佑清河新城府学上院,海淀,配备电梯,2023年12月28日,普通住宅,57827
2室1厅,中楼层/共6层,77.49,平层/简装,640.0,春晖园,海淀,配备电梯,2024年01月01日,普通住宅,82592
3室2厅,高楼层/共12层,126.8,平层/精装,1150.0,丹青府,海淀,配备电梯,2023年12月27日,普通住宅,90695
2室1厅,中楼层/共11层,66.37,平层/精装,490.0,玉海园一里,海淀,配备电梯,2023年12月31日,普通住宅,73829
