户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
2室1厅,底层/共5层,44.03,平层/精装,195.0,十万坪,石景山,无,2023年12月30日,普通住宅,44288
2室1厅,高楼层/共6层,59.5,平层/简装,208.0,模式口西里,石景山,无,2023年12月28日,普通住宅,34958
2室1厅,中楼层/共6层,60.9,平层/精装,205.0,模式口西里,石景山,无,2023年12月29日,普通住宅,33662
3室1厅,底层/共6层,81.74,平层/精装,530.0,鲁谷路74号院,石景山,无,2023年12月27日,普通住宅,64840
2室1厅,低楼层/共6层,54.74,平层/精装,280.0,永乐西区,石景山,无,2023年12月27日,普通住宅,51151
3室1厅,顶层/共5层,55.78,平层/毛坯,169.0,十万坪,石景山,无,2023年12月29日,普通住宅,30298
2室1厅,底层/共6层,54.95,平层/简装,250.0,金顶街一区,石景山,无,2023年12月30日,普通住宅,45496
2室1厅,中楼层/共24层,95.88,平层/简装,450.0,金顶街五区,石景山,配备电梯,2023年12月26日,普通住宅,46934
2室1厅,中楼层/共6层,61.15,平层/简装,259.0,八角北里,石景山,无,2023年12月29日,普通住宅,42355
2室1厅,底层/共6层,57.75,平层/简装,209.0,模式口西里,石景山,无,2023年12月25日,普通住宅,36191
2室1厅,中楼层/共7层,77.53,平层/精装,399.0,杨庄北区,石景山,无,2023年12月24日,普通住宅,51464
2室1厅,顶层/共4层,67.1,平层/简装,338.0,高能物理研究所,石景山,无,2023年12月23日,普通住宅,50373
2室2厅,中楼层/共18层,90.91,平层/简装,470.0,世纪佳苑,石景山,配备电梯,2023年12月23日,普通住宅,51700
3室1厅,高楼层/共6层,112.31,平层/精装,608.0,奈伦熙府,石景山,无,2023年12月23日,普通住宅,54136
2室0厅,底层/共5层,40.59,平层/精装,180.0,古城特钢楼,石景山,无,2023年12月24日,普通住宅,44346
2室1厅,高楼层/共6层,61.79,平层/简装,299.0,海特花园西区,石景山,无,2023年12月24日,普通住宅,48390
2室1厅,低楼层/共22层,71.12,平层/精装,409.0,中海长安雅苑,石景山,配备电梯,2023年12月24日,普通住宅,57509
2室1厅,中楼层/共6层,59.56,平层/精装,268.0,老山东里,石景山,无,2023年12月23日,普通住宅,44997
2室1厅,高楼层/共21层,75.86,平层/精装,368.0,古城现代嘉园,石景山,配备电梯,2023年12月25日,普通住宅,48511
1室1厅,中楼层/共14层,57.2,平层/简装,308.0,苹果园小区一区,石景山,配备电梯,2023年12月23日,普通住宅,53847
2室1厅,低楼层/共16层,74.43,平层/精装,379.0,苹果园小区三区,石景山,配备电梯,2023年12月21日,普通住宅,50921
2室1厅,低楼层/共18层,71.86,平层/简装,310.0,新都名苑,石景山,配备电梯,2023年12月24日,普通住宅,43140
2室1厅,低楼层/共6层,58.94,平层/简装,163.0,广宁村,石景山,无,2023年12月21日,普通住宅,27656
2室1厅,中楼层/共4层,65.59,平层/简装,369.0,鲁谷路74号院,石景山,无,2023年12月21日,普通住宅,56259
2室1厅,中楼层/共15层,104.62,平层/精装,561.0,重兴园,石景山,配备电梯,2023年12月20日,普通住宅,53623
2室1厅,中楼层/共26层,86.22,平层/精装,680.0,长安九里,石景山,配备电梯,2023年12月20日,普通住宅,78869
2室1厅,低楼层/共20层,60.44,平层/简装,309.0,永乐东区,石景山,配备电梯,2023年12月19日,普通住宅,51126
2室1厅,低楼层/共6层,54.17,平层/精装,196.0,现代生活,石景山,无,2023年12月19日,普通住宅,36183
2室1厅,高楼层/共6层,56.67,平层/简装,318.0,八角北里,石景山,无,2023年12月19日,普通住宅,56115
2室1厅,中楼层/共5层,52.59,平层/精装,365.0,高能物理研究所,石景山,无,2023年12月19日,普通住宅,69405
2室1厅,低楼层/共12层,98.2,平层/精装,648.0,时代庐峰,石景山,配备电梯,2023年12月18日,普通住宅,65988
3室1厅,低楼层/共6层,81.97,平层/简装,460.0,依翠园,石景山,无,2023年12月17日,普通住宅,56119
1室1厅,低楼层/共6层,40.39,平层/简装,160.0,古城北路,石景山,无,2023年12月18日,普通住宅,39614
2室1厅,高楼层/共16层,62.97,平层/简装,266.0,模式口南里,石景山,配备电梯,2023年12月17日,普通住宅,42243
2室1厅,中楼层/共6层,71.46,平层/精装,380.0,金顶街四区,石景山,无,2023年12月16日,普通住宅,53177
2室2厅,底层/共14层,64.16,平层/其他,338.0,杨庄小区,石景山,配备电梯,2023年12月22日,普通住宅,52681
2室1厅,中楼层/共18层,89.51,平层/精装,680.0,远洋沁山水上品,石景山,配备电梯,2023年12月16日,普通住宅,75970
2室1厅,中楼层/共18层,74.14,平层/简装,439.0,中海长安雅苑,石景山,配备电梯,2023年12月20日,普通住宅,59213
2室1厅,高楼层/共31层,70.38,平层/简装,230.0,金隅滨和园1号院,石景山,配备电梯,2023年12月15日,普通住宅,32680
2室1厅,中楼层/共5层,58.9,平层/简装,230.0,古城北路,石景山,无,2023年12月12日,普通住宅,39050
2室1厅,低楼层/共6层,50.37,平层/简装,225.0,八角北路,石景山,无,2023年12月12日,普通住宅,44670
2室2厅,底层/共6层,69.36,平层/精装,360.0,苹果园小区三区,石景山,无,2023年12月11日,普通住宅,51904
2室2厅,高楼层/共25层,92.66,平层/精装,570.0,融景城,石景山,配备电梯,2023年12月10日,普通住宅,61516
