户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
2室1厅,高楼层/共14层,86.46平米,平层/精装,1050.0,紫金印象,西城,房屋朝向,配备电梯,"2023年12月30日
                                                                            ","普通住宅
                                                                            ",121444
2室1厅,高楼层/共14层,72.46平米,平层/简装,760.0,畅柳园,西城,房屋朝向,配备电梯,"2023年12月30日
                                                                            ","普通住宅
                                                                            ",104886
1室1厅,高楼层/共6层,43.9平米,平层/毛坯,539.0,南露园,西城,房屋朝向,,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",122780
2室1厅,顶层/共3层,60.9平米,平层/简装,650.0,百万庄巳区,西城,房屋朝向,,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",106733
1室2厅,中楼层/共14层,59.47平米,平层/简装,650.0,畅柳园,西城,房屋朝向,配备电梯,"2023年12月28日
                                                                            ","普通住宅
                                                                            ",109299
2室1厅,高楼层/共12层,66.63平米,平层/精装,710.0,南纬路2号院,西城,房屋朝向,配备电梯,"2023年12月30日
                                                                            ","普通住宅
                                                                            ",106559
1室0厅,低楼层/共26层,24.03平米,平层/精装,368.0,荣丰2008,西城,房屋朝向,配备电梯,"2023年12月29日
                                                                            ","普通住宅
                                                                            ",153142
2室1厅,中楼层/共14层,63.73平米,平层/简装,616.0,白广路6号院,西城,房屋朝向,配备电梯,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",96658
2室1厅,中楼层/共5层,48.3平米,平层/精装,750.0,真武庙五里,西城,房屋朝向,,"2023年12月28日
                                                                            ","普通住宅
                                                                            ",155280
2室1厅,低楼层/共18层,71.37平米,平层/简装,910.0,新华里12号院,西城,房屋朝向,配备电梯,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",127505
3室2厅,中楼层/共14层,132.42平米,平层/简装,1295.0,丽阳四季,西城,房屋朝向,配备电梯,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",97795
4室2厅,低楼层/共6层,172平米,平层/简装,2406.0,国英园,西城,房屋朝向,,"2023年12月26日
                                                                            ","普通住宅
                                                                            ",139884
2室1厅,底层/共18层,60.34平米,平层/简装,560.0,马连道中里,西城,房屋朝向,配备电梯,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",92808
2室1厅,中楼层/共13层,68.2平米,平层/简装,720.0,白纸坊西街6号院,西城,房屋朝向,配备电梯,"2023年12月25日
                                                                            ","普通住宅
                                                                            ",105572
