户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
2室2厅,高楼层/共12层,100.49平米,平层/毛坯,438.0,格瑞雅居,通州,房屋朝向,配备电梯,"2023年12月31日
                                                                            ","普通住宅
                                                                            ",43587
3室1厅,顶层/共9层,114.5平米,平层/精装,549.0,天时名苑,通州,房屋朝向,配备电梯,"2023年12月28日
                                                                            ","普通住宅
                                                                            ",47948
2室1厅,低楼层/共13层,89.53平米,平层/简装,398.0,时尚街区东区,通州,房屋朝向,配备电梯,"2023年12月28日
                                                                            ","普通住宅
                                                                            ",44455
2室1厅,低楼层/共6层,105.02平米,平层/简装,450.0,天赐良园二期半,通州,房屋朝向,,"2023年12月28日
                                                                            ","普通住宅
                                                                            ",42849
2室1厅,高楼层/共9层,97.42平米,平层/精装,415.0,日光清城,通州,房屋朝向,配备电梯,"2023年12月30日
                                                                            ","普通住宅
                                                                            ",42600
2室1厅,低楼层/共27层,71.58平米,平层/精装,466.0,金融街武夷融御,通州,房屋朝向,配备电梯,"2023年12月30日
                                                                            ","普通住宅
                                                                            ",65102
2室1厅,高楼层/共29层,72.46平米,平层/精装,295.0,方恒东景,通州,房屋朝向,配备电梯,"2023年12月29日
                                                                            ","普通住宅
                                                                            ",40713
3室1厅,底层/共10层,80.96平米,平层/精装,286.0,珠江丽景家园,通州,房屋朝向,配备电梯,"2023年12月31日
                                                                            ","普通住宅
                                                                            ",35327
2室1厅,中楼层/共6层,58.38平米,平层/简装,220.0,新城东里,通州,房屋朝向,,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",37685
2室1厅,中楼层/共6层,60.69平米,平层/简装,219.0,东方生活区,通州,房屋朝向,,"2023年12月28日
                                                                            ","普通住宅
                                                                            ",36086
2室1厅,低楼层/共21层,79.39平米,平层/其他,268.0,东亚瑞晶苑,通州,房屋朝向,配备电梯,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",33758
2室1厅,高楼层/共18层,75.67平米,平层/简装,295.0,金地格林格林,通州,房屋朝向,配备电梯,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",38986
2室2厅,低楼层/共18层,87.64平米,平层/简装,420.0,蓝调沙龙东区,通州,房屋朝向,配备电梯,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",47924
2室1厅,低楼层/共6层,89.69平米,平层/精装,328.0,迎喜家园,通州,房屋朝向,,"2023年12月25日
                                                                            ","普通住宅
                                                                            ",36571
2室1厅,中楼层/共21层,77.16平米,平层/简装,285.0,通瑞嘉苑西区,通州,房屋朝向,配备电梯,"2023年12月25日
                                                                            ","普通住宅
                                                                            ",36937
2室2厅,低楼层/共6层,60.97平米,平层/精装,195.0,北机家属院,通州,房屋朝向,,"2023年12月24日
                                                                            ","普通住宅
                                                                            ",31983
2室1厅,中楼层/共6层,63.33平米,平层/精装,269.0,葛布店东里,通州,房屋朝向,,"2023年12月23日
                                                                            ","普通住宅
                                                                            ",42476
2室1厅,底层/共4层,61.97平米,平层/简装,312.0,帅府园,通州,房屋朝向,,"2023年12月23日
                                                                            ","普通住宅
                                                                            ",50347
1室1厅,高楼层/共27层,66.43平米,平层/精装,328.0,华业东方玫瑰C区,通州,房屋朝向,配备电梯,"2023年12月23日
                                                                            ","普通住宅
                                                                            ",49376
2室1厅,顶层/共6层,64.99平米,平层/精装,218.0,玉桥北里,通州,房屋朝向,,"2023年12月22日
                                                                            ","普通住宅
                                                                            ",33544
1室1厅,低楼层/共6层,67.97平米,平层/其他,218.0,翠福园,通州,房屋朝向,,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",32073
2室2厅,低楼层/共7层,94.9平米,平层/简装,300.0,新华小区,通州,房屋朝向,,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",31613
1室0厅,低楼层/共22层,55平米,平层/其他,175.0,房地远洋悦山水,通州,房屋朝向,配备电梯,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",31819
3室1厅,中楼层/共6层,85.12平米,平层/精装,335.0,华兴园,通州,房屋朝向,,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",39357
3室2厅,高楼层/共27层,131.49平米,平层/精装,685.0,华业东方玫瑰A区,通州,房屋朝向,配备电梯,"2023年12月22日
                                                                            ","普通住宅
                                                                            ",52096
2室1厅,低楼层/共6层,88.06平米,平层/简装,338.0,阿尔法社区三期,通州,房屋朝向,,"2023年12月22日
                                                                            ","普通住宅
                                                                            ",38383
1室1厅,顶层/共15层,56.31平米,平层/简装,158.0,富力尚悦居D区,通州,房屋朝向,配备电梯,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",28059
2室2厅,中楼层/共12层,104.55平米,平层/精装,489.0,荔景园,通州,房屋朝向,配备电梯,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",46772
3室1厅,高楼层/共6层,104.22平米,平层/简装,239.0,疃里庄园,通州,房屋朝向,,"2023年12月22日
                                                                            ","普通住宅
                                                                            ",22933
1室1厅,顶层/共4层,59.21平米,平层/精装,236.0,蓝调沙龙东区,通州,房屋朝向,,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",39859
2室1厅,高楼层/共28层,78.71平米,平层/简装,285.0,新城乐居,通州,房屋朝向,配备电梯,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",36209
1室1厅,顶层/共12层,65.83平米,平层/精装,303.0,当代名筑,通州,房屋朝向,配备电梯,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",46028
3室1厅,顶层/共6层,101.81平米,平层/简装,315.0,梨园东里,通州,房屋朝向,,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",30940
2室1厅,顶层/共6层,78.99平米,平层/精装,208.0,西潞苑小区,通州,房屋朝向,,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",26333
2室1厅,中楼层/共15层,85.81平米,平层/精装,360.0,新城阳光,通州,房屋朝向,配备电梯,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",41954
2室1厅,中楼层/共31层,104.58平米,平层/简装,445.0,世纪星城三期,通州,房屋朝向,配备电梯,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",42552
2室1厅,中楼层/共6层,70.33平米,平层/简装,210.0,徐辛庄,通州,房屋朝向,,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",29860
2室1厅,低楼层/共6层,85.09平米,平层/精装,372.0,幸福艺居,通州,房屋朝向,,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",43719
3室2厅,高楼层/共18层,131.91平米,平层/精装,530.0,潇雅居,通州,房屋朝向,配备电梯,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",40179
3室1厅,低楼层/共28层,91.44平米,平层/简装,359.0,新城乐居,通州,房屋朝向,配备电梯,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",39261
2室1厅,低楼层/共26层,99.11平米,平层/精装,340.0,财富东方,通州,房屋朝向,配备电梯,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",34306
2室1厅,低楼层/共20层,78.23平米,平层/精装,265.0,时尚街区西区,通州,房屋朝向,配备电梯,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",33875
2室1厅,低楼层/共9层,94.39平米,平层/简装,398.0,博客园,通州,房屋朝向,配备电梯,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",42166
3室1厅,中楼层/共18层,89.13平米,平层/精装,428.0,珠江东都国际,通州,房屋朝向,配备电梯,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",48020
2室1厅,中楼层/共5层,53平米,平层/简装,215.0,通惠南路,通州,房屋朝向,,"2023年12月24日
                                                                            ","普通住宅
                                                                            ",40567
2室1厅,高楼层/共15层,71.16平米,平层/简装,268.0,金隅七零九零,通州,房屋朝向,配备电梯,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",37662
1室1厅,低楼层/共27层,45.18平米,平层/精装,196.0,海棠湾一期,通州,房屋朝向,配备电梯,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",43383
1室0厅,中楼层/共24层,51.64平米,平层/毛坯,295.0,鼎晟国际,通州,房屋朝向,配备电梯,"2023年12月16日
                                                                            ","普通住宅
                                                                            ",57127
3室1厅,中楼层/共10层,93.54平米,平层/简装,425.0,珠江丽景家园,通州,房屋朝向,配备电梯,"2023年12月16日
                                                                            ","普通住宅
                                                                            ",45436
2室1厅,中楼层/共5层,50.11平米,平层/精装,199.0,天桥湾,通州,房屋朝向,,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",39713
2室1厅,中楼层/共12层,94.75平米,平层/精装,320.0,莲水怡园,通州,房屋朝向,配备电梯,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",33774
2室1厅,高楼层/共15层,89.98平米,平层/精装,319.0,大方居,通州,房屋朝向,配备电梯,"2023年12月16日
                                                                            ","普通住宅
                                                                            ",35453
2室1厅,高楼层/共28层,73.09平米,平层/精装,289.0,怡然世家,通州,房屋朝向,配备电梯,"2023年12月15日
                                                                            ","普通住宅
                                                                            ",39541
2室1厅,中楼层/共28层,83.4平米,平层/精装,315.0,通瑞嘉苑东区,通州,房屋朝向,配备电梯,"2023年12月16日
                                                                            ","普通住宅
                                                                            ",37770
2室1厅,低楼层/共6层,83.09平米,平层/精装,245.0,西果园18号,通州,房屋朝向,,"2023年12月15日
                                                                            ","普通住宅
                                                                            ",29487
2室1厅,中楼层/共7层,87.82平米,平层/简装,435.0,武夷花园牡丹园,通州,房屋朝向,,"2023年12月22日
                                                                            ","普通住宅
                                                                            ",49534
2室1厅,高楼层/共25层,68.33平米,平层/精装,307.0,通典铭居,通州,房屋朝向,配备电梯,"2023年12月15日
                                                                            ","普通住宅
                                                                            ",44930
2室1厅,高楼层/共21层,74.11平米,平层/简装,310.0,北人家园,通州,房屋朝向,配备电梯,"2023年12月15日
                                                                            ","普通住宅
                                                                            ",41830
2室1厅,低楼层/共27层,75.75平米,平层/精装,360.0,华业东方玫瑰A区,通州,房屋朝向,配备电梯,"2023年12月27日
                                                                            ","普通住宅
                                                                            ",47525
2室1厅,高楼层/共28层,86.69平米,平层/精装,465.0,京贸国际城,通州,房屋朝向,配备电梯,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",53640
3室1厅,底层/共28层,90.28平米,平层/简装,330.0,通瑞嘉苑西区,通州,房屋朝向,配备电梯,"2023年12月15日
                                                                            ","普通住宅
                                                                            ",36553
2室1厅,底层/共6层,74.88平米,平层/简装,235.0,西马庄园,通州,房屋朝向,,"2023年12月13日
                                                                            ","普通住宅
                                                                            ",31384
2室1厅,中楼层/共28层,74.34平米,平层/简装,280.0,通瑞嘉苑西区,通州,房屋朝向,配备电梯,"2023年12月13日
                                                                            ","普通住宅
                                                                            ",37665
3室1厅,高楼层/共11层,88.19平米,平层/精装,440.0,润枫领尚,通州,房屋朝向,配备电梯,"2023年12月16日
                                                                            ","普通住宅
                                                                            ",49893
1室1厅,低楼层/共20层,48.51平米,平层/精装,155.0,长城国际,通州,房屋朝向,配备电梯,"2023年12月12日
                                                                            ","普通住宅
                                                                            ",31953
2室1厅,底层/共6层,70.44平米,平层/精装,258.0,源泉苑,通州,房屋朝向,,"2023年12月16日
                                                                            ","普通住宅
                                                                            ",36627
2室1厅,低楼层/共20层,82.37平米,平层/精装,550.0,百合湾东区,通州,房屋朝向,配备电梯,"2023年12月11日
                                                                            ","普通住宅
                                                                            ",66772
2室1厅,中楼层/共15层,72.22平米,平层/简装,260.0,金隅七零九零,通州,房屋朝向,配备电梯,"2023年12月10日
                                                                            ","普通住宅
                                                                            ",36002
2室2厅,低楼层/共18层,90.69平米,平层/简装,448.0,合生滨江帝景二期,通州,房屋朝向,配备电梯,"2023年12月13日
                                                                            ","普通住宅
                                                                            ",49400
2室1厅,高楼层/共6层,88.86平米,平层/精装,339.0,华兴园,通州,房屋朝向,,"2023年12月10日
                                                                            ","普通住宅
                                                                            ",38150
3室2厅,中楼层/共8层,106.31平米,平层/精装,358.0,首开香溪郡,通州,房屋朝向,配备电梯,"2023年12月11日
                                                                            ","普通住宅
                                                                            ",33676
2室1厅,中楼层/共5层,92平米,平层/精装,329.0,旗舰凯旋一期,通州,房屋朝向,,"2023年12月10日
                                                                            ","普通住宅
                                                                            ",35761
