户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
2室1厅,中楼层/共6层,70.12平米,平层/简装,206,滨河路3号,门头沟,房屋朝向,,"2023年12月29日
                                                                            ","普通住宅
                                                                            ",29379
3室2厅,中楼层/共20层,89.47平米,平层/精装,366,四季怡园北区,门头沟,房屋朝向,配备电梯,"2023年12月29日
                                                                            ","普通住宅
                                                                            ",40908
2室1厅,顶层/共6层,54.21平米,平层/简装,140,新桥路小区,门头沟,房屋朝向,,"2023年12月25日
                                                                            ","普通住宅
                                                                            ",25826
2室1厅,中楼层/共18层,89.99平米,平层/精装,368,中铁西城,门头沟,房屋朝向,配备电梯,"2023年12月23日
                                                                            ","普通住宅
                                                                            ",40894
2室1厅,底层/共6层,68.34平米,平层/简装,177,城子二斜井,门头沟,房屋朝向,,"2023年12月22日
                                                                            ","普通住宅
                                                                            ",25900
2室1厅,低楼层/共18层,88.47平米,平层/精装,325,永升嘉园,门头沟,房屋朝向,配备电梯,"2023年12月28日
                                                                            ","普通住宅
                                                                            ",36736
2室1厅,顶层/共9层,69.97平米,平层/精装,238,惠民家园二区,门头沟,房屋朝向,配备电梯,"2023年12月22日
                                                                            ","普通住宅
                                                                            ",34015
3室1厅,中楼层/共28层,88.9平米,平层/精装,400,泷悦•长安剑桥园,门头沟,房屋朝向,配备电梯,"2023年12月22日
                                                                            ","普通住宅
                                                                            ",44995
2室1厅,中楼层/共6层,67.26平米,平层/精装,206,桥东街小区,门头沟,房屋朝向,,"2023年12月21日
                                                                            ","普通住宅
                                                                            ",30628
2室1厅,中楼层/共15层,79.05平米,平层/精装,98,王平大街东路17号院,门头沟,房屋朝向,配备电梯,"2023年12月20日
                                                                            ","普通住宅
                                                                            ",12398
3室1厅,中楼层/共15层,87.27平米,平层/精装,350,惠民家园二区,门头沟,房屋朝向,配备电梯,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",40106
2室1厅,中楼层/共6层,62.97平米,平层/精装,209,月季园东里,门头沟,房屋朝向,,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",33191
2室1厅,底层/共6层,82.28平米,平层/精装,230,三家店老宿舍17号院,门头沟,房屋朝向,,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",27954
3室1厅,高楼层/共20层,87.69平米,平层/简装,340,四季怡园北区,门头沟,房屋朝向,配备电梯,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",38773
2室1厅,底层/共6层,61.26平米,平层/精装,209,葡东小区,门头沟,房屋朝向,,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",34117
2室1厅,中楼层/共18层,66.04平米,平层/精装,225,永升嘉园,门头沟,房屋朝向,配备电梯,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",34071
2室1厅,高楼层/共6层,83.02平米,平层/精装,256,德露苑,门头沟,房屋朝向,,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",30836
3室1厅,中楼层/共20层,89.36平米,平层/简装,385,四季怡园北区,门头沟,房屋朝向,配备电梯,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",43085
2室1厅,中楼层/共23层,87.11平米,平层/精装,355,丽景长安,门头沟,房屋朝向,配备电梯,"2023年12月19日
                                                                            ","普通住宅
                                                                            ",40754
2室1厅,顶层/共6层,62.48平米,平层/简装,175,门头沟月季园,门头沟,房屋朝向,,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",28009
1室1厅,底层/共6层,42.07平米,平层/简装,119,城子二斜井,门头沟,房屋朝向,,"2023年12月16日
                                                                            ","普通住宅
                                                                            ",28287
4室2厅,高楼层/共25层,155.38平米,平层/精装,680,丽景长安二期,门头沟,房屋朝向,配备电梯,"2023年12月16日
                                                                            ","普通住宅
                                                                            ",43764
2室1厅,中楼层/共28层,62.77平米,平层/简装,207,华远西山雅园,门头沟,房屋朝向,配备电梯,"2023年12月18日
                                                                            ","普通住宅
                                                                            ",32978
2室1厅,中楼层/共6层,64.14平米,平层/精装,198,新桥大街39号院,门头沟,房屋朝向,,"2023年12月14日
                                                                            ","普通住宅
                                                                            ",30870
2室1厅,低楼层/共24层,92.14平米,平层/简装,300,新桥家园,门头沟,房屋朝向,配备电梯,"2023年12月12日
                                                                            ","普通住宅
                                                                            ",32560
3室1厅,中楼层/共21层,121.03平米,平层/精装,498,金泰丽湾悦栖山,门头沟,房屋朝向,配备电梯,"2023年12月11日
                                                                            ","普通住宅
                                                                            ",41147
2室1厅,顶层/共6层,49.36平米,平层/简装,139,新桥路小区,门头沟,房屋朝向,,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",28161
2室1厅,中楼层/共18层,65.48平米,平层/精装,255,永升嘉园,门头沟,房屋朝向,配备电梯,"2023年12月09日
                                                                            ","普通住宅
                                                                            ",38944
3室2厅,顶层/共23层,119.49平米,平层/精装,527,梧桐苑清露园,门头沟,房屋朝向,配备电梯,"2023年12月07日
                                                                            ","普通住宅
                                                                            ",44105
2室1厅,中楼层/共6层,80.54平米,平层/简装,256,德露苑,门头沟,房屋朝向,,"2023年12月09日
                                                                            ","普通住宅
                                                                            ",31786
2室1厅,高楼层/共6层,62.97平米,平层/精装,199,月季园东里,门头沟,房屋朝向,,"2023年12月05日
                                                                            ","普通住宅
                                                                            ",31603
2室1厅,中楼层/共6层,67.26平米,平层/简装,206,桥东街小区,门头沟,房屋朝向,,"2023年12月05日
                                                                            ","普通住宅
                                                                            ",30628
3室2厅,中楼层/共21层,131.14平米,平层/精装,520,金泰丽湾悦栖山,门头沟,房屋朝向,配备电梯,"2023年12月03日
                                                                            ","普通住宅
                                                                            ",39653
2室2厅,低楼层/共10层,95.99平米,平层/精装,350,含晖苑,门头沟,房屋朝向,配备电梯,"2023年12月04日
                                                                            ","普通住宅
                                                                            ",36463
2室1厅,底层/共4层,50.25平米,平层/简装,206,黑山北小街4号院,门头沟,房屋朝向,,"2023年11月30日
                                                                            ","普通住宅
                                                                            ",40996
3室1厅,中楼层/共20层,87.46平米,平层/精装,347,四季怡园北区,门头沟,房屋朝向,配备电梯,"2023年12月01日
                                                                            ","普通住宅
                                                                            ",39676
2室1厅,高楼层/共21层,107.47平米,平层/毛坯,480,西悦嘉园,门头沟,房屋朝向,配备电梯,"2023年11月29日
                                                                            ","普通住宅
                                                                            ",44664
2室1厅,中楼层/共5层,53.47平米,平层/简装,153,桥东街小区,门头沟,房屋朝向,,"2023年11月29日
                                                                            ","普通住宅
                                                                            ",28615
