户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
2室1厅,中楼层/共14层,90.86,平层/简装,270.0,金宝花园北区,顺义,配备电梯,2023年12月30日,普通住宅,29717
2室1厅,中楼层/共16层,74.21,平层/精装,209.0,香悦四季,顺义,配备电梯,2023年12月30日,普通住宅,28164
3室1厅,高楼层/共15层,92.77,平层/简装,340.0,仓上家园,顺义,配备电梯,2023年12月30日,普通住宅,36650
3室1厅,中楼层/共7层,146.59,错层/精装,610.0,香花畦家园,顺义,配备电梯,2023年12月29日,普通住宅,41613
1室1厅,高楼层/共28层,50.86,平层/精装,150.0,顺兴街17号院,顺义,配备电梯,2023年12月28日,普通住宅,29493
2室1厅,中楼层/共18层,80.13,平层/精装,203.0,中晟馨苑小区四号院,顺义,无,2023年12月29日,普通住宅,25334
2室1厅,中楼层/共6层,88.32,平层/其他,309.0,前进花园石门苑,顺义,无,2023年12月28日,普通住宅,34987
3室2厅,中楼层/共22层,156.59,平层/简装,497.0,裕龙三区,顺义,配备电梯,2023年12月30日,普通住宅,31739
3室1厅,低楼层/共15层,103.68,平层/精装,460.0,住总正华新国展满庭芳,顺义,配备电梯,2023年12月25日,普通住宅,44368
3室1厅,中楼层/共6层,111.21,平层/简装,390.0,裕龙四区,顺义,无,2023年12月28日,普通住宅,35069
2室1厅,底层/共6层,77,平层/精装,250.0,莲竹花园,顺义,无,2023年12月25日,普通住宅,32468
1室1厅,底层/共6层,59.13,平层/简装,185.0,滨河小区,顺义,无,2023年12月27日,普通住宅,31287
3室1厅,底层/共6层,80.05,平层/简装,240.0,仓上小区,顺义,无,2023年12月29日,普通住宅,29982
3室2厅,低楼层/共6层,91.3,平层/精装,269.0,佳和宜园,顺义,无,2023年12月25日,普通住宅,29464
2室1厅,中楼层/共14层,98.9,平层/精装,459.0,住总正华新国展满庭芳,顺义,配备电梯,2023年12月24日,普通住宅,46411
2室1厅,中楼层/共14层,99.17,平层/精装,455.0,住总正华新国展满庭芳,顺义,配备电梯,2023年12月24日,普通住宅,45881
1室1厅,高楼层/共16层,60.32,平层/简装,163.0,鼎顺嘉园东区,顺义,配备电梯,2023年12月25日,普通住宅,27023
1室0厅,中楼层/共18层,46.04,平层/精装,266.0,怡馨家园,顺义,配备电梯,2023年12月28日,普通住宅,57776
3室1厅,高楼层/共15层,102.99,平层/精装,510.0,住总正华新国展满庭芳,顺义,配备电梯,2023年12月21日,普通住宅,49520
2室1厅,高楼层/共15层,84.62,平层/精装,289.0,中铁花溪渡,顺义,配备电梯,2023年12月21日,普通住宅,34153
2室1厅,顶层/共9层,70,平层/简装,342.0,空港吉祥花园,顺义,配备电梯,2023年12月20日,普通住宅,48858
2室1厅,高楼层/共6层,60.72,平层/简装,170.0,滨河小区,顺义,无,2023年12月21日,普通住宅,27998
2室1厅,低楼层/共15层,98.92,平层/精装,455.0,住总正华新国展满庭芳,顺义,配备电梯,2023年12月21日,普通住宅,45997
1室1厅,高楼层/共16层,61.01,平层/精装,159.0,鼎顺嘉园西区,顺义,配备电梯,2023年12月21日,普通住宅,26062
3室2厅,低楼层/共15层,103.67,平层/精装,480.0,住总正华新国展满庭芳,顺义,配备电梯,2023年12月19日,普通住宅,46301
1室1厅,顶层/共16层,61.01,平层/简装,147.0,鼎顺嘉园西区,顺义,配备电梯,2023年12月18日,普通住宅,24095
2室1厅,中楼层/共6层,71.99,平层/精装,245.0,双裕小区,顺义,无,2023年12月18日,普通住宅,34033
2室1厅,底层/共11层,81.3,平层/简装,160.0,板桥南街8号院,顺义,配备电梯,2023年12月20日,普通住宅,19681
2室1厅,中楼层/共11层,75.36,平层/精装,229.0,锦悦嘉苑,顺义,配备电梯,2023年12月17日,普通住宅,30388
1室1厅,中楼层/共12层,51.43,平层/简装,150.0,澜西园四区,顺义,无,2023年12月18日,普通住宅,29166
3室2厅,低楼层/共9层,131.64,平层/精装,645.0,明德家园,顺义,配备电梯,2023年12月17日,普通住宅,48998
2室1厅,底层/共6层,72.86,平层/简装,205.0,石园东苑,顺义,无,2023年12月16日,普通住宅,28137
2室1厅,低楼层/共11层,81.98,平层/精装,244.0,新于庄园,顺义,配备电梯,2023年12月16日,普通住宅,29764
1室1厅,低楼层/共16层,60.49,平层/精装,165.0,鼎顺嘉园东区,顺义,配备电梯,2023年12月16日,普通住宅,27278
2室1厅,顶层/共6层,79,平层/简装,245.0,东兴一区,顺义,无,2023年12月15日,普通住宅,31013
3室1厅,底层/共6层,104.27,平层/简装,315.0,裕龙四区,顺义,无,2023年12月15日,普通住宅,30211
2室1厅,中楼层/共16层,81.37,平层/精装,268.0,梅兰居,顺义,配备电梯,2023年12月12日,普通住宅,32936
3室1厅,顶层/共11层,95.83,平层/精装,470.0,空港吉祥花园,顺义,配备电梯,2023年12月13日,普通住宅,49046
1室1厅,中楼层/共16层,61.59,平层/简装,160.0,鼎顺嘉园西区,顺义,配备电梯,2023年12月18日,普通住宅,25979
2室1厅,底层/共6层,91.46,平层/其他,218.0,石园南区,顺义,无,2023年12月11日,普通住宅,23836
1室1厅,中楼层/共16层,61.29,平层/精装,168.0,鼎顺嘉园西区,顺义,无,2023年12月17日,普通住宅,27411
2室1厅,中楼层/共6层,76.5,平层/精装,248.0,滨河小区,顺义,无,2023年12月19日,普通住宅,32419
2室1厅,顶层/共11层,73.35,平层/简装,230.0,锦悦嘉苑,顺义,配备电梯,2023年12月11日,普通住宅,31357
1室1厅,底层/共6层,55.85,平层/精装,200.0,胜利小区,顺义,无,2023年12月11日,普通住宅,35811
1室1厅,中楼层/共27层,64.57,平层/精装,180.0,顺悦家园,顺义,配备电梯,2023年12月18日,普通住宅,27877
2室1厅,低楼层/共6层,84.46,平层/简装,225.0,石园南区,顺义,无,2023年12月10日,普通住宅,26640
3室2厅,底层/共4层,154.97,平层/精装,680.0,万科四季花城,顺义,无,2023年12月09日,普通住宅,43880
3室2厅,中楼层/共5层,149.81,平层/精装,859.0,江山赋,顺义,配备电梯,2023年12月09日,普通住宅,57340
1室1厅,高楼层/共16层,69.52,平层/精装,179.0,中晟馨苑2号院,顺义,配备电梯,2023年12月07日,普通住宅,25748
1室1厅,中楼层/共18层,55.59,平层/精装,135.0,中晟馨苑小区一号院,顺义,无,2023年12月08日,普通住宅,24285
2室1厅,顶层/共6层,79.06,平层/简装,239.0,西辛南区,顺义,无,2023年12月08日,普通住宅,30231
2室1厅,中楼层/共20层,99.72,平层/简装,350.0,金汉绿港一区,顺义,配备电梯,2023年12月06日,普通住宅,35099
2室1厅,中楼层/共15层,68.98,平层/简装,228.0,悦君家园,顺义,配备电梯,2023年12月07日,普通住宅,33054
1室1厅,顶层/共16层,60.89,平层/简装,155.0,鼎顺嘉园西区,顺义,配备电梯,2023年12月08日,普通住宅,25456
2室1厅,高楼层/共13层,71.26,平层/精装,225.0,鼎顺嘉园东区,顺义,配备电梯,2023年12月05日,普通住宅,31575
2室1厅,低楼层/共16层,60.49,平层/精装,157.0,鼎顺嘉园东区,顺义,配备电梯,2023年12月07日,普通住宅,25955
1室1厅,底层/共6层,66.02,平层/简装,159.0,馨港庄园三区,顺义,无,2023年12月07日,普通住宅,24084
2室1厅,低楼层/共28层,58.95,平层/精装,170.0,顺兴街17号院,顺义,配备电梯,2023年12月04日,普通住宅,28838
1室1厅,底层/共6层,68.34,平层/简装,219.0,西辛南区,顺义,无,2023年12月07日,普通住宅,32046
2室1厅,顶层/共6层,83.7,平层/精装,250.0,双兴东区,顺义,无,2023年12月04日,普通住宅,29869
2室1厅,高楼层/共6层,73.64,平层/精装,219.0,西辛南区,顺义,无,2023年12月03日,普通住宅,29740
2室1厅,中楼层/共6层,59.71,平层/简装,179.0,胜利小区,顺义,无,2023年12月06日,普通住宅,29979
2室2厅,高楼层/共6层,75.24,平层/精装,202.0,佳和宜园,顺义,无,2023年12月03日,普通住宅,26848
1室1厅,高楼层/共11层,66.22,平层/精装,135.0,首创悦树汇,顺义,无,2023年12月04日,普通住宅,20387
2室1厅,低楼层/共18层,81.82,平层/精装,338.0,红杉一品,顺义,配备电梯,2023年12月02日,普通住宅,41311
2室1厅,中楼层/共11层,73.72,平层/简装,386.0,空港吉祥花园,顺义,配备电梯,2023年12月28日,普通住宅,52361
2室1厅,高楼层/共28层,77.77,平层/精装,215.0,顺悦家园,顺义,配备电梯,2023年12月02日,普通住宅,27646
1室1厅,低楼层/共16层,60.61,平层/简装,157.0,鼎顺嘉园东区,顺义,无,2023年11月30日,普通住宅,25904
4室2厅,高楼层/共11层,139.17,平层/精装,490.0,香悦四季,顺义,配备电梯,2023年11月30日,普通住宅,35209
2室1厅,中楼层/共6层,59.15,平层/精装,186.0,石园东区,顺义,无,2023年12月08日,普通住宅,31446
1室1厅,低楼层/共12层,57.25,平层/精装,146.0,澜西园四区,顺义,配备电梯,2023年12月01日,普通住宅,25503
1室1厅,低楼层/共16层,69.52,平层/精装,185.0,中晟馨苑2号院,顺义,配备电梯,2023年11月29日,普通住宅,26612
3室1厅,中楼层/共6层,93.08,平层/精装,318.0,东兴一区,顺义,无,2023年11月30日,普通住宅,34165
1室1厅,高楼层/共15层,58.52,平层/精装,230.0,金地悦景台,顺义,配备电梯,2023年11月29日,普通住宅,39303
2室2厅,中楼层/共6层,109.66,平层/简装,418.0,白露雅园东区,顺义,配备电梯,2023年11月28日,普通住宅,38118
3室2厅,高楼层/共9层,130.77,平层/精装,660.0,明德家园,顺义,配备电梯,2023年11月26日,普通住宅,50471
2室1厅,中楼层/共10层,95.86,平层/精装,277.0,顺鑫花语,顺义,配备电梯,2023年11月26日,普通住宅,28897
2室1厅,中楼层/共6层,89.67,平层/精装,275.0,龙湖香醍漫步三区,顺义,配备电梯,2023年11月26日,普通住宅,30669
2室1厅,高楼层/共18层,79.4,平层/精装,305.0,金汉绿港三区,顺义,配备电梯,2023年11月24日,普通住宅,38414
1室1厅,低楼层/共16层,69.52,平层/精装,170.0,中晟馨苑2号院,顺义,配备电梯,2023年11月24日,普通住宅,24454
3室2厅,中楼层/共16层,117.55,平层/精装,343.0,鲁能7号院溪园,顺义,配备电梯,2023年11月29日,普通住宅,29180
2室1厅,高楼层/共16层,80.26,平层/精装,202.0,中晟馨苑2号院,顺义,配备电梯,2023年11月24日,普通住宅,25169
1室1厅,中楼层/共5层,52.93,平层/简装,275.0,建新北区,顺义,无,2023年11月24日,普通住宅,51956
